ResponseId,"Employed, full-time","Employed, part-time",I prefer not to say,"Independent contractor, freelancer, or self-employed","Not employed, and not looking for work","Not employed, but looking for work",Retired,"Student, full-time","Student, part-time"
1,1,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,1,0
6,0,0,0,0,0,0,0,0,1
7,0,0,0,0,0,1,0,0,0
8,1,0,0,0,0,0,0,0,0
9,0,0,0,1,0,0,0,0,0
10,1,0,0,0,0,0,0,0,0
11,1,0,0,1,0,0,0,0,0
12,1,0,0,0,0,0,0,0,0
13,0,1,0,0,0,0,0,0,0
14,1,0,0,1,0,0,0,0,0
15,0,0,0,1,0,0,0,0,0
16,1,0,0,0,0,0,0,0,0
17,1,0,0,0,0,0,0,0,0
18,1,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,1,0
20,0,1,0,0,0,0,0,0,1
21,1,0,0,0,0,0,0,0,0
22,1,0,0,0,0,0,0,0,0
23,1,0,0,0,0,0,0,0,0
24,0,0,0,1,0,0,0,0,0
25,1,0,0,0,0,0,0,0,0
26,1,0,0,0,0,0,0,0,0
27,0,0,0,0,1,0,0,0,0
28,1,0,0,0,0,0,0,0,0
29,1,0,0,1,0,0,0,0,0
31,1,0,0,0,0,0,0,0,0
32,0,1,0,0,0,0,0,1,0
33,0,1,0,0,0,0,0,0,1
34,0,0,0,1,0,0,0,0,0
35,0,0,0,0,0,0,0,1,0
36,1,0,0,0,0,0,0,0,0
37,0,0,0,1,0,0,0,0,0
38,0,0,0,0,0,0,0,1,0
39,1,0,0,0,0,0,0,0,0
40,1,0,0,0,0,0,0,0,0
41,1,0,0,0,0,0,0,0,0
42,0,0,0,0,0,1,0,0,0
43,1,0,0,0,0,0,0,0,1
44,0,0,0,0,0,0,0,1,0
45,1,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,1,0
47,1,0,0,0,0,0,0,0,0
48,1,0,0,0,0,0,0,0,0
49,1,0,0,0,0,0,0,0,0
50,1,0,0,0,0,0,0,1,0
51,1,0,0,0,0,0,0,0,0
52,0,1,0,0,0,0,0,1,0
53,1,0,0,0,0,0,0,0,0
54,1,0,0,0,0,0,0,0,0
55,1,0,0,0,0,0,0,0,0
56,1,0,0,0,0,0,0,0,0
57,1,0,0,0,0,0,0,0,0
58,1,0,0,0,0,0,0,0,0
59,1,0,0,0,0,0,0,0,0
60,1,0,0,0,0,0,0,0,0
61,0,0,0,1,0,0,0,0,1
62,1,0,0,0,0,0,0,0,0
63,1,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,1,0
65,1,0,0,0,0,0,0,0,0
66,1,0,0,0,0,0,0,0,0
67,0,0,0,0,0,1,0,0,0
68,0,0,0,1,0,0,0,0,1
69,1,0,0,0,0,0,0,0,0
70,1,0,0,0,0,0,0,0,0
71,0,1,0,0,0,0,0,1,0
72,1,0,0,0,0,0,0,0,0
73,1,0,0,0,0,0,0,0,0
74,1,0,0,0,0,0,0,0,0
75,0,1,0,0,0,0,0,0,1
76,1,0,0,0,0,0,0,0,0
