ResponseId,BuyNewTool
3,Other (please specify):
4,Start a free trial
4,Visit developer communities like Stack Overflow
5,Other (please specify):
6,Start a free trial
6,Visit developer communities like Stack Overflow
7,Start a free trial
9,Ask developers I know/work with
9,Research companies that have advertised on sites I visit
9,Start a free trial
10,Ask developers I know/work with
10,Start a free trial
10,Visit developer communities like Stack Overflow
11,Ask developers I know/work with
11,Start a free trial
12,Visit developer communities like Stack Overflow
13,Ask developers I know/work with
13,Start a free trial
14,Ask developers I know/work with
14,Start a free trial
14,Visit developer communities like Stack Overflow
15,Start a free trial
16,Research companies that have advertised on sites I visit
16,Start a free trial
17,Ask developers I know/work with
17,Start a free trial
18,Ask developers I know/work with
18,Start a free trial
18,Visit developer communities like Stack Overflow
19,Ask developers I know/work with
19,Visit developer communities like Stack Overflow
20,Ask developers I know/work with
20,Start a free trial
20,Visit developer communities like Stack Overflow
21,Start a free trial
22,Ask developers I know/work with
22,Start a free trial
23,Other (please specify):
23,Research companies that have advertised on sites I visit
23,Start a free trial
24,Start a free trial
25,Ask developers I know/work with
26,Start a free trial
27,Read ratings or reviews on third party sites like G2 Crowd
27,Start a free trial
27,Visit developer communities like Stack Overflow
28,Ask developers I know/work with
28,Other (please specify):
29,Ask developers I know/work with
29,Start a free trial
29,Visit developer communities like Stack Overflow
31,Other (please specify):
32,Ask developers I know/work with
32,Read ratings or reviews on third party sites like G2 Crowd
32,Start a free trial
32,Visit developer communities like Stack Overflow
33,Read ratings or reviews on third party sites like G2 Crowd
33,Visit developer communities like Stack Overflow
34,Ask developers I know/work with
34,Start a free trial
35,Ask developers I know/work with
35,Start a free trial
35,Visit developer communities like Stack Overflow
36,Ask developers I know/work with
36,Start a free trial
36,Visit developer communities like Stack Overflow
37,Ask developers I know/work with
37,Read ratings or reviews on third party sites like G2 Crowd
37,Start a free trial
38,Read ratings or reviews on third party sites like G2 Crowd
38,Visit developer communities like Stack Overflow
39,Ask developers I know/work with
39,Start a free trial
39,Visit developer communities like Stack Overflow
40,Ask developers I know/work with
40,Read ratings or reviews on third party sites like G2 Crowd
40,Research companies that have advertised on sites I visit
40,Start a free trial
40,Visit developer communities like Stack Overflow
41,Ask developers I know/work with
41,Read ratings or reviews on third party sites like G2 Crowd
41,Visit developer communities like Stack Overflow
42,Ask developers I know/work with
42,Start a free trial
42,Visit developer communities like Stack Overflow
43,Other (please specify):
43,Visit developer communities like Stack Overflow
44,Start a free trial
44,Visit developer communities like Stack Overflow
45,Start a free trial
46,Other (please specify):
47,Ask developers I know/work with
47,Start a free trial
47,Visit developer communities like Stack Overflow
48,Start a free trial
48,Visit developer communities like Stack Overflow
49,Visit developer communities like Stack Overflow
51,Research companies that have emailed me
51,Start a free trial
51,Visit developer communities like Stack Overflow
52,Ask developers I know/work with
52,Other (please specify):
52,Research companies that have advertised on sites I visit
52,Visit developer communities like Stack Overflow
53,Start a free trial
53,Visit developer communities like Stack Overflow
54,Ask developers I know/work with
54,Start a free trial
54,Visit developer communities like Stack Overflow
55,Ask developers I know/work with
55,Start a free trial
57,Ask developers I know/work with
57,Start a free trial
57,Visit developer communities like Stack Overflow
58,Ask developers I know/work with
59,Ask developers I know/work with
59,Read ratings or reviews on third party sites like G2 Crowd
59,Start a free trial
59,Visit developer communities like Stack Overflow
60,Ask developers I know/work with
60,Visit developer communities like Stack Overflow
61,Visit developer communities like Stack Overflow
62,Ask developers I know/work with
62,Read ratings or reviews on third party sites like G2 Crowd
62,Start a free trial
62,Visit developer communities like Stack Overflow
63,Ask developers I know/work with
63,Start a free trial
63,Visit developer communities like Stack Overflow
64,Ask developers I know/work with
64,Read ratings or reviews on third party sites like G2 Crowd
64,Visit developer communities like Stack Overflow
65,Read ratings or reviews on third party sites like G2 Crowd
65,Start a free trial
65,Visit developer communities like Stack Overflow
66,Read ratings or reviews on third party sites like G2 Crowd
66,Research companies that have advertised on sites I visit
66,Visit developer communities like Stack Overflow
67,Read ratings or reviews on third party sites like G2 Crowd
67,Start a free trial
68,Ask developers I know/work with
68,Visit developer communities like Stack Overflow
69,Research companies that have advertised on sites I visit
69,Start a free trial
69,Visit developer communities like Stack Overflow
70,Start a free trial
71,Start a free trial
72,Ask developers I know/work with
72,Start a free trial
72,Visit developer communities like Stack Overflow
73,Ask developers I know/work with
73,Start a free trial
74,Ask developers I know/work with
74,Start a free trial
74,Visit developer communities like Stack Overflow
75,Start a free trial
75,Visit developer communities like Stack Overflow
76,Ask developers I know/work with
76,Read ratings or reviews on third party sites like G2 Crowd
76,Research companies that have advertised on sites I visit
76,Start a free trial
76,Visit developer communities like Stack Overflow
78,Ask developers I know/work with
78,Start a free trial
79,Ask developers I know/work with
79,Other (please specify):
79,Start a free trial
80,Start a free trial
81,Start a free trial
81,Visit developer communities like Stack Overflow
82,Ask developers I know/work with
83,Ask developers I know/work with
83,Start a free trial
83,Visit developer communities like Stack Overflow
84,Ask developers I know/work with
84,Start a free trial
85,Read ratings or reviews on third party sites like G2 Crowd
85,Visit developer communities like Stack Overflow
87,Ask developers I know/work with
87,Start a free trial
87,Visit developer communities like Stack Overflow
88,Ask developers I know/work with
88,Start a free trial
89,Ask developers I know/work with
90,Start a free trial
91,Ask developers I know/work with
91,Start a free trial
91,Visit developer communities like Stack Overflow
93,Ask developers I know/work with
93,Start a free trial
95,Ask developers I know/work with
95,Read ratings or reviews on third party sites like G2 Crowd
95,Start a free trial
95,Visit developer communities like Stack Overflow
96,Ask developers I know/work with
96,Start a free trial
97,Ask developers I know/work with
97,Read ratings or reviews on third party sites like G2 Crowd
97,Start a free trial
97,Visit developer communities like Stack Overflow
99,Start a free trial
99,Visit developer communities like Stack Overflow
101,Start a free trial
102,Ask developers I know/work with
102,Start a free trial
103,Ask developers I know/work with
103,Start a free trial
103,Visit developer communities like Stack Overflow
104,Ask developers I know/work with
104,Read ratings or reviews on third party sites like G2 Crowd
104,Research companies that have advertised on sites I visit
104,Start a free trial
104,Visit developer communities like Stack Overflow
105,Ask developers I know/work with
