ResponseId,CodingActivitie
1,Contribute to open-source projects
1,Hobby
2,Hobby
3,I don’t code outside of work
4,Hobby
8,I don’t code outside of work
9,Bootstrapping a business
9,Contribute to open-source projects
9,Hobby
10,I don’t code outside of work
11,Contribute to open-source projects
11,Freelance/contract work
11,Hobby
12,Hobby
13,Hobby
14,Freelance/contract work
14,Hobby
15,Contribute to open-source projects
15,Hobby
16,Hobby
17,Hobby
18,Hobby
20,Hobby
21,I don’t code outside of work
22,Contribute to open-source projects
22,Hobby
23,I don’t code outside of work
24,I don’t code outside of work
25,Hobby
26,I don’t code outside of work
28,Contribute to open-source projects
28,Hobby
29,Bootstrapping a business
29,Hobby
31,I don’t code outside of work
32,Contribute to open-source projects
32,Hobby
33,Hobby
34,Bootstrapping a business
34,Contribute to open-source projects
34,Hobby
36,I don’t code outside of work
37,I don’t code outside of work
39,Hobby
40,Freelance/contract work
40,Hobby
41,I don’t code outside of work
43,Hobby
45,Other (please specify):
47,Hobby
48,Contribute to open-source projects
48,Hobby
49,Hobby
50,Contribute to open-source projects
51,Hobby
52,Hobby
52,Other (please specify):
53,Hobby
54,Contribute to open-source projects
54,Hobby
55,Hobby
56,I don’t code outside of work
57,Hobby
58,Hobby
59,Hobby
60,Bootstrapping a business
60,Contribute to open-source projects
60,Freelance/contract work
60,Hobby
61,Freelance/contract work
61,Hobby
62,Bootstrapping a business
62,Hobby
63,Freelance/contract work
63,Hobby
65,Hobby
65,Other (please specify):
66,Bootstrapping a business
68,Freelance/contract work
68,Hobby
69,Hobby
70,I don’t code outside of work
71,Hobby
72,I don’t code outside of work
73,Hobby
74,I don’t code outside of work
75,Hobby
76,Contribute to open-source projects
76,Hobby
78,Hobby
79,Contribute to open-source projects
79,Hobby
80,Bootstrapping a business
80,Contribute to open-source projects
80,Freelance/contract work
80,Hobby
81,I don’t code outside of work
83,Bootstrapping a business
83,Hobby
84,I don’t code outside of work
85,Hobby
87,Hobby
88,I don’t code outside of work
89,I don’t code outside of work
90,I don’t code outside of work
91,Contribute to open-source projects
91,Hobby
92,Other (please specify):
93,Contribute to open-source projects
93,Freelance/contract work
93,Hobby
94,Hobby
95,I don’t code outside of work
96,Hobby
97,I don’t code outside of work
99,Hobby
101,Bootstrapping a business
102,Hobby
102,Other (please specify):
103,I don’t code outside of work
104,I don’t code outside of work
105,Contribute to open-source projects
105,Hobby
107,I don’t code outside of work
108,I don’t code outside of work
109,Contribute to open-source projects
109,Hobby
111,I don’t code outside of work
112,I don’t code outside of work
113,Freelance/contract work
113,Hobby
114,Contribute to open-source projects
114,Hobby
115,I don’t code outside of work
117,I don’t code outside of work
118,Hobby
119,Contribute to open-source projects
119,Hobby
120,Hobby
121,Hobby
122,Freelance/contract work
122,Hobby
123,I don’t code outside of work
124,Contribute to open-source projects
124,Hobby
126,Hobby
127,Bootstrapping a business
127,Hobby
128,Hobby
130,I don’t code outside of work
131,Contribute to open-source projects
131,Hobby
132,Hobby
133,Hobby
134,Hobby
134,Other (please specify):
135,Hobby
137,Contribute to open-source projects
137,Hobby
138,Hobby
139,Freelance/contract work
140,I don’t code outside of work
141,Hobby
142,Hobby
143,Contribute to open-source projects
143,Freelance/contract work
143,Hobby
144,Hobby
145,I don’t code outside of work
147,Contribute to open-source projects
147,Hobby
148,Freelance/contract work
148,Hobby
150,Contribute to open-source projects
151,Hobby
152,Bootstrapping a business
152,Freelance/contract work
152,Hobby
153,Hobby
154,Hobby
155,Contribute to open-source projects
155,Hobby
156,Hobby
157,Hobby
158,I don’t code outside of work
159,Hobby
160,Hobby
161,Contribute to open-source projects
162,Freelance/contract work
163,I don’t code outside of work
164,Bootstrapping a business
164,Contribute to open-source projects
164,Hobby
165,I don’t code outside of work
167,Hobby
168,Bootstrapping a business
