ResponseId,DevType
2,Data scientist or machine learning specialist
2,"Developer, front-end"
2,"Engineer, data"
2,"Engineer, site reliability"
3,"Developer, full-stack"
4,"Developer, QA or test"
4,"Developer, back-end"
4,"Developer, desktop or enterprise applications"
4,"Developer, front-end"
4,"Developer, full-stack"
7,"Developer, full-stack"
7,Student
8,"Developer, back-end"
9,"Developer, desktop or enterprise applications"
9,"Developer, mobile"
9,Educator
10,"Developer, back-end"
10,"Developer, full-stack"
11,Engineering manager
12,"Developer, full-stack"
13,Database administrator
13,"Developer, back-end"
13,"Developer, front-end"
13,"Developer, full-stack"
14,Academic researcher
14,DevOps specialist
14,"Developer, full-stack"
15,"Developer, full-stack"
16,"Developer, full-stack"
17,"Engineer, data"
18,"Developer, back-end"
18,"Developer, desktop or enterprise applications"
20,Student
21,"Developer, full-stack"
22,"Developer, back-end"
23,Other (please specify):
24,"Developer, full-stack"
25,"Developer, back-end"
25,"Developer, mobile"
26,"Developer, back-end"
26,"Developer, full-stack"
28,"Developer, desktop or enterprise applications"
28,"Developer, embedded applications or devices"
28,"Developer, game or graphics"
29,"Developer, full-stack"
31,"Developer, full-stack"
32,Student
33,Academic researcher
33,Student
34,"Developer, back-end"
36,"Developer, back-end"
36,Project manager
37,"Developer, back-end"
37,"Developer, front-end"
37,"Developer, full-stack"
37,Engineering manager
39,Cloud infrastructure engineer
39,Data or business analyst
39,Database administrator
39,DevOps specialist
39,"Developer, back-end"
40,Cloud infrastructure engineer
40,Data or business analyst
40,Database administrator
40,Designer
40,"Developer, QA or test"
40,"Developer, back-end"
40,"Developer, desktop or enterprise applications"
40,"Developer, embedded applications or devices"
40,"Developer, front-end"
40,"Developer, full-stack"
40,"Developer, mobile"
40,"Engineer, data"
41,Data scientist or machine learning specialist
41,"Developer, back-end"
41,"Engineer, data"
42,Database administrator
42,"Developer, back-end"
42,"Developer, front-end"
42,"Developer, full-stack"
45,"Developer, front-end"
47,"Developer, back-end"
47,"Developer, full-stack"
48,"Developer, back-end"
48,"Developer, desktop or enterprise applications"
49,Cloud infrastructure engineer
49,DevOps specialist
49,"Developer, back-end"
49,"Developer, front-end"
49,"Developer, full-stack"
50,Academic researcher
50,Data scientist or machine learning specialist
50,Scientist
50,Student
51,"Developer, back-end"
52,Cloud infrastructure engineer
52,"Developer, back-end"
52,"Engineer, site reliability"
52,Student
53,"Developer, desktop or enterprise applications"
53,"Developer, front-end"
53,"Developer, full-stack"
54,Cloud infrastructure engineer
54,DevOps specialist
54,"Developer, back-end"
54,"Developer, desktop or enterprise applications"
55,"Developer, back-end"
55,"Developer, full-stack"
56,"Developer, back-end"
56,"Developer, embedded applications or devices"
57,"Developer, back-end"
57,"Developer, front-end"
57,"Developer, full-stack"
58,"Developer, mobile"
59,"Developer, embedded applications or devices"
59,Student
60,Cloud infrastructure engineer
60,Database administrator
60,Designer
60,"Developer, back-end"
60,"Developer, front-end"
60,"Developer, full-stack"
60,"Developer, game or graphics"
60,Engineering manager
60,Product manager
60,Project manager
60,"Senior Executive (C-Suite, VP, etc.)"
60,System administrator
61,Academic researcher
61,Data or business analyst
61,Data scientist or machine learning specialist
61,Database administrator
61,Designer
61,"Developer, back-end"
61,"Developer, desktop or enterprise applications"
61,Student
61,System administrator
62,Designer
62,"Developer, back-end"
63,Designer
63,"Developer, embedded applications or devices"
63,"Developer, front-end"
63,"Developer, full-stack"
65,DevOps specialist
65,"Developer, back-end"
66,"Developer, back-end"
66,"Developer, desktop or enterprise applications"
66,"Developer, full-stack"
67,DevOps specialist
67,"Developer, QA or test"
67,"Developer, back-end"
67,"Developer, full-stack"
68,Blockchain
68,"Developer, back-end"
69,Cloud infrastructure engineer
69,Designer
69,"Developer, back-end"
70,"Developer, mobile"
71,DevOps specialist
71,"Developer, embedded applications or devices"
71,Student
72,Other (please specify):
73,DevOps specialist
73,"Developer, QA or test"
73,"Developer, full-stack"
74,"Developer, full-stack"
75,"Developer, back-end"
75,Student
76,"Developer, back-end"
76,Marketing or sales professional
