ResponseId,LearnCode
2,Books / Physical media
2,Friend or family member
2,"Other online resources (e.g., videos, blogs, forum)"
2,"School (i.e., University, College, etc)"
3,Books / Physical media
3,"School (i.e., University, College, etc)"
4,On the job training
4,"Other online resources (e.g., videos, blogs, forum)"
4,"School (i.e., University, College, etc)"
5,Books / Physical media
5,"School (i.e., University, College, etc)"
6,"Other online resources (e.g., videos, blogs, forum)"
7,Online Courses or Certification
8,Coding Bootcamp
8,On the job training
9,Books / Physical media
9,"Other online resources (e.g., videos, blogs, forum)"
9,"School (i.e., University, College, etc)"
10,Books / Physical media
10,Friend or family member
10,"Other online resources (e.g., videos, blogs, forum)"
10,"School (i.e., University, College, etc)"
11,"Other online resources (e.g., videos, blogs, forum)"
12,"School (i.e., University, College, etc)"
13,Books / Physical media
13,"School (i.e., University, College, etc)"
14,On the job training
14,"Other online resources (e.g., videos, blogs, forum)"
14,"School (i.e., University, College, etc)"
15,Books / Physical media
16,Books / Physical media
16,Colleague
16,Online Courses or Certification
16,"Other online resources (e.g., videos, blogs, forum)"
16,"School (i.e., University, College, etc)"
17,On the job training
17,Online Courses or Certification
17,"Other online resources (e.g., videos, blogs, forum)"
17,"School (i.e., University, College, etc)"
18,Books / Physical media
18,Coding Bootcamp
18,Online Courses or Certification
18,"School (i.e., University, College, etc)"
19,Books / Physical media
19,Coding Bootcamp
19,Colleague
20,Books / Physical media
20,On the job training
20,"Other online resources (e.g., videos, blogs, forum)"
20,"School (i.e., University, College, etc)"
21,Other (please specify):
22,Books / Physical media
23,Colleague
23,Other (please specify):
23,"Other online resources (e.g., videos, blogs, forum)"
25,Books / Physical media
25,Online Courses or Certification
25,"Other online resources (e.g., videos, blogs, forum)"
25,"School (i.e., University, College, etc)"
26,Books / Physical media
26,Colleague
26,On the job training
26,Online Courses or Certification
26,"Other online resources (e.g., videos, blogs, forum)"
26,"School (i.e., University, College, etc)"
27,"Other online resources (e.g., videos, blogs, forum)"
28,Books / Physical media
28,"School (i.e., University, College, etc)"
29,Books / Physical media
29,Colleague
29,On the job training
29,Other (please specify):
29,"Other online resources (e.g., videos, blogs, forum)"
31,Books / Physical media
31,On the job training
31,"Other online resources (e.g., videos, blogs, forum)"
32,Online Courses or Certification
32,"Other online resources (e.g., videos, blogs, forum)"
32,"School (i.e., University, College, etc)"
33,Friend or family member
33,"Other online resources (e.g., videos, blogs, forum)"
34,Online Courses or Certification
34,"Other online resources (e.g., videos, blogs, forum)"
34,"School (i.e., University, College, etc)"
35,On the job training
35,"Other online resources (e.g., videos, blogs, forum)"
35,"School (i.e., University, College, etc)"
36,Books / Physical media
36,On the job training
36,Online Courses or Certification
36,"Other online resources (e.g., videos, blogs, forum)"
36,"School (i.e., University, College, etc)"
37,Books / Physical media
37,Friend or family member
37,"Other online resources (e.g., videos, blogs, forum)"
38,Friend or family member
38,Online Courses or Certification
38,"Other online resources (e.g., videos, blogs, forum)"
39,Books / Physical media
39,Online Courses or Certification
39,"Other online resources (e.g., videos, blogs, forum)"
40,Books / Physical media
40,"Other online resources (e.g., videos, blogs, forum)"
40,"School (i.e., University, College, etc)"
41,On the job training
41,Online Courses or Certification
41,"Other online resources (e.g., videos, blogs, forum)"
42,Colleague
42,Online Courses or Certification
42,"Other online resources (e.g., videos, blogs, forum)"
42,"School (i.e., University, College, etc)"
43,Books / Physical media
43,"Other online resources (e.g., videos, blogs, forum)"
44,"School (i.e., University, College, etc)"
45,Online Courses or Certification
45,"Other online resources (e.g., videos, blogs, forum)"
46,Other (please specify):
46,"Other online resources (e.g., videos, blogs, forum)"
47,Friend or family member
47,"Other online resources (e.g., videos, blogs, forum)"
47,"School (i.e., University, College, etc)"
48,Books / Physical media
48,"Other online resources (e.g., videos, blogs, forum)"
48,"School (i.e., University, College, etc)"
49,"Other online resources (e.g., videos, blogs, forum)"
49,"School (i.e., University, College, etc)"
50,Books / Physical media
50,Friend or family member
50,"Other online resources (e.g., videos, blogs, forum)"
50,"School (i.e., University, College, etc)"
51,Books / Physical media
51,"Other online resources (e.g., videos, blogs, forum)"
51,"School (i.e., University, College, etc)"
52,Books / Physical media
52,Friend or family member
52,On the job training
52,Online Courses or Certification
52,"Other online resources (e.g., videos, blogs, forum)"
52,"School (i.e., University, College, etc)"
53,"Other online resources (e.g., videos, blogs, forum)"
53,"School (i.e., University, College, etc)"
54,Hackathons (virtual or in-person)
54,On the job training
54,Online Courses or Certification
54,"Other online resources (e.g., videos, blogs, forum)"
54,"School (i.e., University, College, etc)"
55,"Other online resources (e.g., videos, blogs, forum)"
55,"School (i.e., University, College, etc)"
56,On the job training
56,"Other online resources (e.g., videos, blogs, forum)"
56,"School (i.e., University, College, etc)"
57,On the job training
57,"Other online resources (e.g., videos, blogs, forum)"
57,"School (i.e., University, College, etc)"
58,Books / Physical media
58,"Other online resources (e.g., videos, blogs, forum)"
59,On the job training
59,Online Courses or Certification
59,Other (please specify):
59,"Other online resources (e.g., videos, blogs, forum)"
59,"School (i.e., University, College, etc)"
60,Books / Physical media
60,Colleague
60,Friend or family member
60,On the job training
60,Online Courses or Certification
60,"Other online resources (e.g., videos, blogs, forum)"
60,"School (i.e., University, College, etc)"
61,Books / Physical media
61,Coding Bootcamp
61,Colleague
61,Online Courses or Certification
61,Other (please specify):
61,"Other online resources (e.g., videos, blogs, forum)"
62,Friend or family member
62,"Other online resources (e.g., videos, blogs, forum)"
63,Other (please specify):
63,"School (i.e., University, College, etc)"
64,Books / Physical media
64,Friend or family member
64,Online Courses or Certification
64,"Other online resources (e.g., videos, blogs, forum)"
64,"School (i.e., University, College, etc)"
65,Online Courses or Certification
65,"Other online resources (e.g., videos, blogs, forum)"
66,Colleague
66,"School (i.e., University, College, etc)"
67,Books / Physical media
67,Colleague
67,On the job training
67,"Other online resources (e.g., videos, blogs, forum)"
67,"School (i.e., University, College, etc)"
68,On the job training
68,"Other online resources (e.g., videos, blogs, forum)"
69,Books / Physical media
69,Colleague
69,On the job training
69,Online Courses or Certification
69,"School (i.e., University, College, etc)"
70,Books / Physical media
70,Coding Bootcamp
70,Friend or family member
70,On the job training
70,Online Courses or Certification
70,"Other online resources (e.g., videos, blogs, forum)"
71,Hackathons (virtual or in-person)
71,Online Courses or Certification
71,"Other online resources (e.g., videos, blogs, forum)"
71,"School (i.e., University, College, etc)"
72,Books / Physical media
72,Friend or family member
73,On the job training
73,"Other online resources (e.g., videos, blogs, forum)"
74,"School (i.e., University, College, etc)"
75,Coding Bootcamp
75,On the job training
75,Online Courses or Certification
76,Books / Physical media
76,Colleague
76,Friend or family member
76,On the job training
76,Online Courses or Certification
76,"Other online resources (e.g., videos, blogs, forum)"
76,"School (i.e., University, College, etc)"
77,Books / Physical media
77,Other (please specify):
78,"School (i.e., University, College, etc)"
79,Books / Physical media
79,Hackathons (virtual or in-person)
79,Online Courses or Certification
79,"Other online resources (e.g., videos, blogs, forum)"
79,"School (i.e., University, College, etc)"
80,Books / Physical media
80,Friend or family member
80,Other (please specify):
81,Books / Physical media
81,Coding Bootcamp
81,Online Courses or Certification
81,"Other online resources (e.g., videos, blogs, forum)"
82,Books / Physical media
82,Colleague
82,"Other online resources (e.g., videos, blogs, forum)"
82,"School (i.e., University, College, etc)"
83,Books / Physical media
83,Colleague
83,On the job training
83,Online Courses or Certification
83,"Other online resources (e.g., videos, blogs, forum)"
83,"School (i.e., University, College, etc)"
84,On the job training
84,"Other online resources (e.g., videos, blogs, forum)"
84,"School (i.e., University, College, etc)"
85,Books / Physical media
85,"Other online resources (e.g., videos, blogs, forum)"
85,"School (i.e., University, College, etc)"
87,Books / Physical media
87,"Other online resources (e.g., videos, blogs, forum)"
88,On the job training
88,"Other online resources (e.g., videos, blogs, forum)"
89,"School (i.e., University, College, etc)"
90,Friend or family member
90,On the job training
90,Online Courses or Certification
90,"Other online resources (e.g., videos, blogs, forum)"
90,"School (i.e., University, College, etc)"
91,Books / Physical media
91,Friend or family member
91,On the job training
91,"Other online resources (e.g., videos, blogs, forum)"
91,"School (i.e., University, College, etc)"
92,Online Courses or Certification
92,"Other online resources (e.g., videos, blogs, forum)"
92,"School (i.e., University, College, etc)"
93,Coding Bootcamp
93,Hackathons (virtual or in-person)
93,On the job training
93,Online Courses or Certification
93,"School (i.e., University, College, etc)"
94,"School (i.e., University, College, etc)"
95,Books / Physical media
95,On the job training
95,"School (i.e., University, College, etc)"
96,On the job training
96,"Other online resources (e.g., videos, blogs, forum)"
97,Books / Physical media
97,Hackathons (virtual or in-person)
97,On the job training
97,Online Courses or Certification
97,"Other online resources (e.g., videos, blogs, forum)"
97,"School (i.e., University, College, etc)"
99,Books / Physical media
99,"Other online resources (e.g., videos, blogs, forum)"
99,"School (i.e., University, College, etc)"
100,"Other online resources (e.g., videos, blogs, forum)"
101,Books / Physical media
101,Friend or family member
101,On the job training
101,"Other online resources (e.g., videos, blogs, forum)"
101,"School (i.e., University, College, etc)"
102,Books / Physical media
102,Colleague
102,Friend or family member
102,On the job training
102,"Other online resources (e.g., videos, blogs, forum)"
102,"School (i.e., University, College, etc)"
103,Books / Physical media
103,Colleague
103,On the job training
103,Online Courses or Certification
103,"Other online resources (e.g., videos, blogs, forum)"
103,"School (i.e., University, College, etc)"
104,Books / Physical media
104,Online Courses or Certification
104,"Other online resources (e.g., videos, blogs, forum)"
104,"School (i.e., University, College, etc)"
105,"Other online resources (e.g., videos, blogs, forum)"
106,Online Courses or Certification
106,"Other online resources (e.g., videos, blogs, forum)"
107,Other (please specify):
107,"School (i.e., University, College, etc)"
108,Online Courses or Certification
108,"Other online resources (e.g., videos, blogs, forum)"
109,Books / Physical media
109,On the job training
109,Online Courses or Certification
109,"Other online resources (e.g., videos, blogs, forum)"
109,"School (i.e., University, College, etc)"
110,Other (please specify):
111,"School (i.e., University, College, etc)"
112,Books / Physical media
112,"Other online resources (e.g., videos, blogs, forum)"
112,"School (i.e., University, College, etc)"
113,Books / Physical media
113,Colleague
113,On the job training
113,"Other online resources (e.g., videos, blogs, forum)"
113,"School (i.e., University, College, etc)"
114,Books / Physical media
114,Hackathons (virtual or in-person)
114,Online Courses or Certification
114,"Other online resources (e.g., videos, blogs, forum)"
115,On the job training
115,"School (i.e., University, College, etc)"
116,Books / Physical media
116,Friend or family member
116,"School (i.e., University, College, etc)"
117,Books / Physical media
117,On the job training
118,Online Courses or Certification
118,"School (i.e., University, College, etc)"
119,"School (i.e., University, College, etc)"
120,Books / Physical media
120,On the job training
120,Online Courses or Certification
120,"Other online resources (e.g., videos, blogs, forum)"
120,"School (i.e., University, College, etc)"
121,On the job training
121,Online Courses or Certification
121,"Other online resources (e.g., videos, blogs, forum)"
121,"School (i.e., University, College, etc)"
122,Books / Physical media
122,Coding Bootcamp
122,On the job training
122,Online Courses or Certification
122,"Other online resources (e.g., videos, blogs, forum)"
122,"School (i.e., University, College, etc)"
123,On the job training
123,Online Courses or Certification
123,"School (i.e., University, College, etc)"
124,Friend or family member
124,On the job training
124,"School (i.e., University, College, etc)"
125,Friend or family member
125,On the job training
125,"School (i.e., University, College, etc)"
126,Colleague
126,On the job training
126,"Other online resources (e.g., videos, blogs, forum)"
126,"School (i.e., University, College, etc)"
127,Books / Physical media
127,Online Courses or Certification
127,"Other online resources (e.g., videos, blogs, forum)"
128,"Other online resources (e.g., videos, blogs, forum)"
129,"Other online resources (e.g., videos, blogs, forum)"
129,"School (i.e., University, College, etc)"
130,Books / Physical media
130,Colleague
130,On the job training
130,Online Courses or Certification
131,Books / Physical media
131,"Other online resources (e.g., videos, blogs, forum)"
132,Books / Physical media
132,Online Courses or Certification
132,"Other online resources (e.g., videos, blogs, forum)"
133,Books / Physical media
133,Friend or family member
133,"School (i.e., University, College, etc)"
134,Coding Bootcamp
134,Colleague
134,Friend or family member
134,On the job training
134,Online Courses or Certification
134,"Other online resources (e.g., videos, blogs, forum)"
134,"School (i.e., University, College, etc)"
135,Friend or family member
135,On the job training
135,"School (i.e., University, College, etc)"
136,Friend or family member
136,"Other online resources (e.g., videos, blogs, forum)"
137,Friend or family member
137,"Other online resources (e.g., videos, blogs, forum)"
138,Colleague
138,On the job training
138,"Other online resources (e.g., videos, blogs, forum)"
138,"School (i.e., University, College, etc)"
139,Books / Physical media
139,Colleague
139,Friend or family member
139,Online Courses or Certification
140,Coding Bootcamp
140,On the job training
140,"Other online resources (e.g., videos, blogs, forum)"
141,Books / Physical media
141,Coding Bootcamp
141,On the job training
141,Online Courses or Certification
141,"Other online resources (e.g., videos, blogs, forum)"
142,Books / Physical media
143,Friend or family member
144,Books / Physical media
144,"School (i.e., University, College, etc)"
145,Books / Physical media
145,"School (i.e., University, College, etc)"
147,Books / Physical media
147,On the job training
147,"Other online resources (e.g., videos, blogs, forum)"
147,"School (i.e., University, College, etc)"
148,On the job training
148,"Other online resources (e.g., videos, blogs, forum)"
148,"School (i.e., University, College, etc)"
149,Books / Physical media
149,"School (i.e., University, College, etc)"
150,"School (i.e., University, College, etc)"
151,On the job training
151,Online Courses or Certification
151,"Other online resources (e.g., videos, blogs, forum)"
152,Online Courses or Certification
152,"Other online resources (e.g., videos, blogs, forum)"
152,"School (i.e., University, College, etc)"
153,Books / Physical media
153,On the job training
153,Online Courses or Certification
153,"Other online resources (e.g., videos, blogs, forum)"
153,"School (i.e., University, College, etc)"
154,Books / Physical media
154,Colleague
154,On the job training
154,Online Courses or Certification
154,"School (i.e., University, College, etc)"
155,"School (i.e., University, College, etc)"
156,"Other online resources (e.g., videos, blogs, forum)"
