ResponseId,LearnCodeOnline
2,Blogs
2,Programming Games
2,Stack Overflow
2,Technical documentation
2,Written Tutorials
4,Blogs
4,Online books
4,"Online challenges (e.g., daily or weekly coding challenges)"
4,Stack Overflow
4,Technical documentation
4,Video-based Online Courses
6,Stack Overflow
6,Video-based Online Courses
9,Blogs
9,Online books
9,Online forum
9,Stack Overflow
9,Technical documentation
9,Written Tutorials
10,Blogs
10,How-to videos
10,Stack Overflow
10,Technical documentation
10,Video-based Online Courses
10,Written Tutorials
10,Written-based Online Courses
11,"Auditory material (e.g., podcasts)"
11,Blogs
11,How-to videos
11,Interactive tutorial
11,Technical documentation
11,Video-based Online Courses
11,Written Tutorials
11,Written-based Online Courses
14,Coding sessions (live or recorded)
14,How-to videos
14,Stack Overflow
14,Video-based Online Courses
14,Written Tutorials
16,Blogs
16,Coding sessions (live or recorded)
16,How-to videos
16,Online books
16,Online forum
16,Stack Overflow
16,Technical documentation
16,Video-based Online Courses
16,Written Tutorials
16,Written-based Online Courses
17,How-to videos
17,Stack Overflow
17,Technical documentation
17,Video-based Online Courses
17,Written Tutorials
20,Blogs
20,How-to videos
20,Online forum
20,Stack Overflow
20,Technical documentation
20,Video-based Online Courses
20,Written-based Online Courses
23,Blogs
23,Stack Overflow
23,Written Tutorials
23,Written-based Online Courses
25,Blogs
25,Coding sessions (live or recorded)
25,How-to videos
25,Stack Overflow
25,Technical documentation
25,Written Tutorials
26,Online forum
26,Stack Overflow
26,Technical documentation
27,How-to videos
27,Online books
27,Stack Overflow
27,Technical documentation
27,Written Tutorials
29,Blogs
29,Stack Overflow
29,Technical documentation
31,Blogs
31,Online forum
31,Other (Please specify):
31,Stack Overflow
31,Technical documentation
32,How-to videos
32,"Online challenges (e.g., daily or weekly coding challenges)"
32,Technical documentation
33,Blogs
33,How-to videos
33,Interactive tutorial
33,Stack Overflow
33,Technical documentation
33,Written Tutorials
34,Blogs
34,Technical documentation
35,Blogs
35,Online forum
35,Stack Overflow
35,Technical documentation
36,Blogs
36,Stack Overflow
36,Technical documentation
36,Video-based Online Courses
36,Written Tutorials
37,"Auditory material (e.g., podcasts)"
37,Blogs
37,Coding sessions (live or recorded)
37,How-to videos
37,Stack Overflow
37,Technical documentation
37,Video-based Online Courses
37,Written Tutorials
38,Blogs
38,How-to videos
38,Interactive tutorial
38,"Online challenges (e.g., daily or weekly coding challenges)"
38,Online forum
38,Stack Overflow
38,Video-based Online Courses
38,Written Tutorials
39,Blogs
39,How-to videos
39,Online books
39,Online forum
39,Stack Overflow
39,Technical documentation
39,Video-based Online Courses
39,Written Tutorials
39,Written-based Online Courses
40,Blogs
40,How-to videos
40,Online forum
40,Stack Overflow
40,Technical documentation
40,Written Tutorials
41,Blogs
41,Stack Overflow
41,Technical documentation
41,Video-based Online Courses
41,Written Tutorials
41,Written-based Online Courses
42,Blogs
42,Coding sessions (live or recorded)
42,How-to videos
42,Interactive tutorial
42,Stack Overflow
42,Technical documentation
42,Video-based Online Courses
42,Written-based Online Courses
43,Stack Overflow
43,Technical documentation
43,Written Tutorials
45,How-to videos
45,Technical documentation
45,Video-based Online Courses
46,Blogs
46,How-to videos
46,Technical documentation
47,Blogs
47,How-to videos
47,Interactive tutorial
47,Online books
47,"Online challenges (e.g., daily or weekly coding challenges)"
47,Online forum
47,Stack Overflow
47,Technical documentation
47,Video-based Online Courses
47,Written Tutorials
47,Written-based Online Courses
48,Blogs
48,Stack Overflow
48,Technical documentation
48,Written Tutorials
49,Blogs
49,Stack Overflow
49,Technical documentation
50,Blogs
50,Stack Overflow
50,Technical documentation
50,Written Tutorials
51,Blogs
51,Coding sessions (live or recorded)
51,How-to videos
51,Interactive tutorial
51,Stack Overflow
51,Technical documentation
51,Video-based Online Courses
51,Written Tutorials
51,Written-based Online Courses
52,Blogs
52,Certification videos
52,Interactive tutorial
52,Online books
52,Stack Overflow
52,Technical documentation
52,Video-based Online Courses
53,Blogs
53,Stack Overflow
53,Technical documentation
53,Written Tutorials
54,Blogs
54,Interactive tutorial
54,Stack Overflow
54,Technical documentation
54,Written Tutorials
55,Coding sessions (live or recorded)
55,How-to videos
55,Interactive tutorial
55,"Online challenges (e.g., daily or weekly coding challenges)"
55,Stack Overflow
55,Technical documentation
55,Written Tutorials
56,Blogs
56,"Online challenges (e.g., daily or weekly coding challenges)"
56,Stack Overflow
56,Technical documentation
57,Interactive tutorial
57,"Online challenges (e.g., daily or weekly coding challenges)"
57,Online forum
57,Programming Games
57,Stack Overflow
57,Technical documentation
57,Written-based Online Courses
58,Blogs
58,Certification videos
58,How-to videos
58,Online books
58,Stack Overflow
58,Technical documentation
58,Written Tutorials
59,Blogs
59,Coding sessions (live or recorded)
59,"Online challenges (e.g., daily or weekly coding challenges)"
59,Other (Please specify):
59,Stack Overflow
59,Technical documentation
59,Written Tutorials
60,Blogs
60,Coding sessions (live or recorded)
60,How-to videos
60,Online books
60,"Online challenges (e.g., daily or weekly coding challenges)"
60,Online forum
60,Stack Overflow
60,Technical documentation
60,Video-based Online Courses
60,Written Tutorials
61,How-to videos
61,Online books
61,Stack Overflow
61,Technical documentation
62,Blogs
62,Interactive tutorial
62,Programming Games
62,Stack Overflow
62,Technical documentation
62,Video-based Online Courses
62,Written Tutorials
64,Blogs
64,How-to videos
64,Online books
64,Online forum
64,Stack Overflow
64,Technical documentation
64,Written Tutorials
64,Written-based Online Courses
65,Interactive tutorial
65,Stack Overflow
65,Video-based Online Courses
67,Coding sessions (live or recorded)
67,How-to videos
67,Interactive tutorial
67,Online forum
67,Stack Overflow
67,Written-based Online Courses
68,Blogs
68,Online forum
68,Stack Overflow
68,Technical documentation
68,Written Tutorials
