ResponseId,NEWSOSite
1,Collectives on Stack Overflow
1,Stack Exchange
1,Stack Overflow
1,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies)
2,Collectives on Stack Overflow
2,Stack Exchange
2,Stack Overflow
3,Collectives on Stack Overflow
3,Stack Exchange
3,Stack Overflow
3,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies)
4,Collectives on Stack Overflow
4,Stack Exchange
4,Stack Overflow
4,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies)
5,Stack Exchange
5,Stack Overflow
6,Stack Overflow
7,Collectives on Stack Overflow
7,Stack Exchange
7,Stack Overflow
8,Stack Exchange
8,Stack Overflow
8,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies)
9,Collectives on Stack Overflow
9,Stack Exchange
9,Stack Overflow
10,Stack Exchange
10,Stack Overflow
11,Stack Exchange
11,Stack Overflow
12,Stack Exchange
12,Stack Overflow
13,Stack Exchange
13,Stack Overflow
14,Stack Exchange
14,Stack Overflow
15,Stack Exchange
15,Stack Overflow
16,Stack Exchange
16,Stack Overflow
17,Stack Exchange
17,Stack Overflow
17,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies)
18,Stack Exchange
18,Stack Overflow
19,Stack Overflow
20,Stack Exchange
20,Stack Overflow
21,Stack Exchange
21,Stack Overflow
22,Stack Overflow
23,Stack Exchange
23,Stack Overflow
24,Stack Overflow
25,Stack Exchange
25,Stack Overflow
26,Stack Exchange
26,Stack Overflow
27,Stack Exchange
27,Stack Overflow
28,Stack Exchange
28,Stack Overflow
29,Stack Exchange
29,Stack Overflow
31,Stack Exchange
31,Stack Overflow
32,Stack Exchange
32,Stack Overflow
33,Stack Exchange
33,Stack Overflow
34,Stack Exchange
34,Stack Overflow
35,Stack Exchange
35,Stack Overflow
36,Stack Exchange
36,Stack Overflow
37,Collectives on Stack Overflow
37,Stack Exchange
37,Stack Overflow
38,Stack Exchange
38,Stack Overflow
39,Stack Overflow
40,Stack Exchange
40,Stack Overflow
41,Stack Exchange
41,Stack Overflow
42,Stack Exchange
42,Stack Overflow
43,Stack Overflow
44,Collectives on Stack Overflow
44,Stack Exchange
44,Stack Overflow
44,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies)
45,Stack Overflow
46,Collectives on Stack Overflow
46,Stack Exchange
46,Stack Overflow
46,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies)
47,Stack Exchange
47,Stack Overflow
48,Stack Exchange
48,Stack Overflow
49,Collectives on Stack Overflow
49,Stack Exchange
49,Stack Overflow
50,Stack Exchange
50,Stack Overflow
51,Stack Overflow
52,Stack Exchange
52,Stack Overflow
53,Collectives on Stack Overflow
53,Stack Overflow
53,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies)
54,Stack Exchange
54,Stack Overflow
55,Stack Exchange
55,Stack Overflow
55,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies)
56,Stack Exchange
56,Stack Overflow
57,Stack Exchange
57,Stack Overflow
57,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies)
58,Stack Overflow
59,Stack Overflow
60,Stack Exchange
60,Stack Overflow
61,I have never visited Stack Overflow or the Stack Exchange network
61,Stack Exchange
61,Stack Overflow
62,Stack Exchange
62,Stack Overflow
63,Stack Exchange
63,Stack Overflow
64,Stack Exchange
64,Stack Overflow
65,Stack Exchange
65,Stack Overflow
66,Stack Overflow
67,Stack Overflow
68,Stack Exchange
68,Stack Overflow
69,Stack Exchange
69,Stack Overflow
