ResponseId,OpSysPersonal use
1,Windows
1,Windows Subsystem for Linux (WSL)
2,Windows
3,Windows
4,MacOS
4,Windows
5,MacOS
6,MacOS
7,Windows
8,Windows
9,Windows
10,Linux-based
11,Linux-based
11,MacOS
12,Linux-based
13,MacOS
14,MacOS
15,Windows
16,Windows
17,Windows
17,Windows Subsystem for Linux (WSL)
18,Windows
19,Linux-based
19,Windows
20,Windows
21,MacOS
22,Windows
23,Other (Please Specify):
24,Windows
25,MacOS
26,MacOS
26,Windows
27,Windows
28,Linux-based
29,Windows
31,Windows
32,Windows
33,Linux-based
34,Linux-based
34,Windows
35,MacOS
36,Linux-based
37,MacOS
38,Linux-based
39,Linux-based
40,MacOS
40,Windows
41,Windows
42,Windows
43,Linux-based
44,Linux-based
44,Windows
44,Windows Subsystem for Linux (WSL)
45,Windows
46,Linux-based
47,MacOS
48,Linux-based
48,MacOS
49,Linux-based
49,Windows
50,Linux-based
51,Windows
51,Windows Subsystem for Linux (WSL)
52,MacOS
53,MacOS
54,Linux-based
55,Windows
56,Windows
57,Windows
58,MacOS
59,Linux-based
59,Windows
59,Windows Subsystem for Linux (WSL)
60,Windows
61,Linux-based
62,Linux-based
62,MacOS
63,Linux-based
63,MacOS
64,Windows
64,Windows Subsystem for Linux (WSL)
65,Linux-based
66,Windows
67,MacOS
67,Windows
68,Windows
68,Windows Subsystem for Linux (WSL)
69,Linux-based
70,MacOS
71,Linux-based
72,MacOS
72,Windows
73,Windows
73,Windows Subsystem for Linux (WSL)
74,MacOS
75,Windows
75,Windows Subsystem for Linux (WSL)
76,Windows
76,Windows Subsystem for Linux (WSL)
77,MacOS
78,Windows
79,Linux-based
80,Windows
81,Linux-based
81,MacOS
82,Linux-based
82,Windows
83,MacOS
84,Windows
85,Windows
87,Windows
88,Windows
89,Windows
90,Windows
91,Windows
92,Linux-based
92,Windows
93,MacOS
94,Linux-based
95,Linux-based
96,Linux-based
97,Windows
98,Linux-based
98,MacOS
98,Windows
99,Linux-based
100,Linux-based
101,MacOS
102,Windows
103,Windows
104,Windows
105,MacOS
106,Windows
107,Windows
108,Windows
109,Linux-based
109,Windows
109,Windows Subsystem for Linux (WSL)
110,Windows
110,Windows Subsystem for Linux (WSL)
111,Windows
112,Windows
112,Windows Subsystem for Linux (WSL)
113,Windows
114,MacOS
115,Windows
116,Linux-based
117,Windows
118,MacOS
118,Windows
119,Linux-based
120,Linux-based
120,Windows
121,MacOS
122,Windows
122,Windows Subsystem for Linux (WSL)
123,Linux-based
123,Windows
124,Linux-based
124,MacOS
125,Windows
126,MacOS
127,Linux-based
128,Windows
129,Linux-based
130,Windows
131,Linux-based
131,MacOS
132,Windows
133,Linux-based
133,MacOS
134,Windows
135,MacOS
136,Windows
137,Linux-based
138,MacOS
139,Linux-based
139,MacOS
140,Windows
141,MacOS
141,Windows
142,Linux-based
143,BSD
143,Linux-based
143,MacOS
144,Linux-based
145,Windows
147,Linux-based
147,MacOS
148,MacOS
149,Windows
150,Windows
150,Windows Subsystem for Linux (WSL)
151,Linux-based
151,Windows
152,Linux-based
152,MacOS
152,Windows
153,Linux-based
153,MacOS
153,Windows
153,Windows Subsystem for Linux (WSL)
154,Linux-based
154,MacOS
154,Windows
154,Windows Subsystem for Linux (WSL)
155,MacOS
156,Windows
156,Windows Subsystem for Linux (WSL)
157,MacOS
158,Linux-based
158,Windows
159,Linux-based
159,Windows
159,Windows Subsystem for Linux (WSL)
160,Windows
161,Linux-based
161,MacOS
162,Linux-based
162,Windows
163,Linux-based
163,Windows
164,Windows
165,Windows
166,Linux-based
167,Windows
167,Windows Subsystem for Linux (WSL)
168,Windows
169,Windows
170,MacOS
171,Linux-based
171,Windows
172,MacOS
173,Linux-based
174,Linux-based
174,Windows
175,Windows
176,Windows
176,Windows Subsystem for Linux (WSL)
177,Windows
178,Linux-based
178,Windows
178,Windows Subsystem for Linux (WSL)
179,Linux-based
180,Linux-based
180,Windows
180,Windows Subsystem for Linux (WSL)
181,Linux-based
182,Linux-based
182,MacOS
182,Windows
183,Linux-based
183,Windows
184,MacOS
184,Other (Please Specify):
184,Windows
185,Windows
186,Linux-based
187,Windows
188,MacOS
189,Windows
191,Linux-based
192,Linux-based
193,Windows
194,MacOS
194,Windows
195,Linux-based
195,MacOS
196,Linux-based
197,MacOS
198,Linux-based
199,BSD
199,Linux-based
199,MacOS
200,Windows
201,MacOS
201,Windows
202,Windows
202,Windows Subsystem for Linux (WSL)
203,Linux-based
204,Linux-based
205,MacOS
205,Windows
206,MacOS
206,Windows
207,Windows
208,Linux-based
209,MacOS
209,Windows
210,Windows
211,Windows
212,MacOS
212,Windows
213,Linux-based
213,MacOS
214,Windows
214,Windows Subsystem for Linux (WSL)
215,Windows
216,Linux-based
216,Windows
217,MacOS
218,Windows
218,Windows Subsystem for Linux (WSL)
219,Linux-based
219,MacOS
220,Windows
221,MacOS
222,Windows
223,MacOS
224,Windows
225,Linux-based
225,Windows
226,Windows
226,Windows Subsystem for Linux (WSL)
227,BSD
227,Linux-based
228,Linux-based
228,Windows
229,Linux-based
229,Windows
231,Linux-based
232,Windows
233,Windows
233,Windows Subsystem for Linux (WSL)
234,Windows
235,MacOS
235,Windows
236,Windows
237,MacOS
237,Windows
238,Windows
239,BSD
239,Linux-based
239,MacOS
240,Windows
241,Linux-based
241,Windows
242,Windows
243,Windows
244,Windows
245,Linux-based
246,Linux-based
247,MacOS
248,MacOS
249,Windows
249,Windows Subsystem for Linux (WSL)
250,Linux-based
250,Windows
251,Linux-based
252,Windows
253,Linux-based
253,MacOS
253,Windows
254,Windows
254,Windows Subsystem for Linux (WSL)
256,MacOS
256,Windows
257,Windows
257,Windows Subsystem for Linux (WSL)
258,Linux-based
258,Windows
259,MacOS
259,Windows
260,Linux-based
261,Windows
262,MacOS
263,Linux-based
265,Linux-based
266,Linux-based
266,Windows
266,Windows Subsystem for Linux (WSL)
267,Linux-based
268,Linux-based
269,Linux-based
269,MacOS
270,Linux-based
271,Linux-based
271,MacOS
272,Linux-based
272,Windows
272,Windows Subsystem for Linux (WSL)
273,Windows
274,MacOS
275,Windows
276,Linux-based
277,Linux-based
277,Windows
278,Windows
279,MacOS
279,Windows
280,Windows
281,Windows
282,Windows
282,Windows Subsystem for Linux (WSL)
283,Windows
283,Windows Subsystem for Linux (WSL)
284,Windows
285,Windows
286,Linux-based
287,MacOS
288,Linux-based
288,MacOS
288,Windows
289,Linux-based
290,MacOS
290,Windows
290,Windows Subsystem for Linux (WSL)
291,Linux-based
292,Linux-based
293,Linux-based
293,Windows
293,Windows Subsystem for Linux (WSL)
294,Windows
295,Linux-based
296,Linux-based
296,Windows
297,Linux-based
298,Linux-based
298,MacOS
298,Windows
299,Linux-based
299,Windows
299,Windows Subsystem for Linux (WSL)
300,Linux-based
301,Linux-based
301,MacOS
302,MacOS
303,MacOS
304,Linux-based
304,Windows
305,Linux-based
305,MacOS
305,Windows
306,Linux-based
307,MacOS
307,Windows
308,MacOS
309,Windows
309,Windows Subsystem for Linux (WSL)
310,Linux-based
311,Windows
311,Windows Subsystem for Linux (WSL)
312,MacOS
312,Windows
313,Windows
314,Windows
314,Windows Subsystem for Linux (WSL)
315,Windows
316,Linux-based
317,Windows
318,MacOS
319,MacOS
320,Windows
321,MacOS
322,MacOS
323,Windows
324,Linux-based
325,MacOS
326,Linux-based
327,Linux-based
328,Windows
329,Linux-based
329,Windows
329,Windows Subsystem for Linux (WSL)
330,MacOS
330,Windows
331,Windows
331,Windows Subsystem for Linux (WSL)
332,Windows
333,Linux-based
333,Windows
333,Windows Subsystem for Linux (WSL)
334,Linux-based
335,Linux-based
335,Windows
335,Windows Subsystem for Linux (WSL)
336,Linux-based
338,MacOS
338,Windows
339,Windows
340,Windows
341,Linux-based
341,Windows
342,Windows
343,Linux-based
344,MacOS
345,Windows
346,MacOS
347,Linux-based
347,MacOS
348,MacOS
348,Windows
349,Linux-based
349,MacOS
350,Linux-based
350,Windows
350,Windows Subsystem for Linux (WSL)
351,Linux-based
351,Windows
352,Windows
353,Linux-based
354,Windows
354,Windows Subsystem for Linux (WSL)
355,Windows
355,Windows Subsystem for Linux (WSL)
356,Windows
357,Linux-based
358,MacOS
358,Windows
359,Linux-based
359,Windows
360,Linux-based
360,Windows
360,Windows Subsystem for Linux (WSL)
361,Linux-based
362,MacOS
363,Linux-based
363,Windows
364,MacOS
364,Windows
365,Windows
365,Windows Subsystem for Linux (WSL)
366,MacOS
367,MacOS
368,Linux-based
368,Windows
368,Windows Subsystem for Linux (WSL)
369,Linux-based
369,Windows
370,Linux-based
371,Linux-based
