ResponseId,OpSysProfessional use
1,MacOS
2,Windows
3,Windows
4,Windows
5,Linux-based
5,MacOS
6,MacOS
7,Linux-based
7,MacOS
8,Windows
9,Windows
10,Windows
10,Windows Subsystem for Linux (WSL)
11,Linux-based
11,MacOS
11,Windows
12,MacOS
13,MacOS
14,MacOS
15,Windows
16,Windows
17,MacOS
18,Windows
19,Linux-based
19,Windows
20,Linux-based
20,MacOS
21,Windows
21,Windows Subsystem for Linux (WSL)
22,Windows
23,MacOS
23,Windows
24,Windows
25,MacOS
26,MacOS
27,Windows
28,Windows
29,Windows
29,Windows Subsystem for Linux (WSL)
31,Windows
33,Linux-based
34,Linux-based
35,Linux-based
35,MacOS
35,Windows
37,MacOS
38,Linux-based
39,Linux-based
41,Linux-based
42,Linux-based
42,Windows
43,Linux-based
44,Windows
46,Linux-based
47,MacOS
48,Windows
48,Windows Subsystem for Linux (WSL)
49,Linux-based
50,Linux-based
51,MacOS
52,MacOS
53,Windows
54,Linux-based
54,MacOS
55,Windows
56,Linux-based
56,Windows
56,Windows Subsystem for Linux (WSL)
57,Linux-based
57,Windows
57,Windows Subsystem for Linux (WSL)
58,MacOS
59,Linux-based
59,Windows
59,Windows Subsystem for Linux (WSL)
60,Linux-based
61,Linux-based
62,Linux-based
63,MacOS
64,Windows
64,Windows Subsystem for Linux (WSL)
65,Windows
66,Windows
67,Linux-based
67,MacOS
67,Windows
68,Linux-based
68,Windows
68,Windows Subsystem for Linux (WSL)
69,Linux-based
71,Linux-based
71,Windows
72,Linux-based
72,MacOS
73,Linux-based
73,Windows
74,Windows
75,MacOS
76,Windows
76,Windows Subsystem for Linux (WSL)
77,MacOS
78,MacOS
79,Linux-based
80,Windows
81,Windows
82,Linux-based
83,MacOS
84,Windows
85,Linux-based
85,Windows
87,Windows
88,MacOS
89,Windows
90,Windows
91,Windows
92,Linux-based
93,MacOS
94,Linux-based
95,Linux-based
95,Windows
96,Linux-based
97,Linux-based
97,Windows
98,MacOS
98,Windows
99,Linux-based
100,Linux-based
101,MacOS
102,Windows
103,MacOS
103,Windows
104,Windows
105,Linux-based
105,MacOS
107,Windows
108,Windows
109,Linux-based
109,Windows
109,Windows Subsystem for Linux (WSL)
110,Linux-based
111,Windows
112,Windows
112,Windows Subsystem for Linux (WSL)
113,Windows
114,Windows
114,Windows Subsystem for Linux (WSL)
115,Windows
116,Linux-based
117,Linux-based
117,Windows
118,Windows
119,Windows
119,Windows Subsystem for Linux (WSL)
120,Linux-based
121,MacOS
122,Windows
122,Windows Subsystem for Linux (WSL)
123,Linux-based
123,Windows
124,MacOS
125,Windows
125,Windows Subsystem for Linux (WSL)
126,Linux-based
126,Windows
127,Linux-based
127,Windows
127,Windows Subsystem for Linux (WSL)
128,Windows
129,Linux-based
130,Linux-based
131,Linux-based
132,Windows
133,Linux-based
133,MacOS
134,Windows
134,Windows Subsystem for Linux (WSL)
135,MacOS
136,Linux-based
136,Windows
137,Linux-based
138,MacOS
139,Linux-based
139,MacOS
140,Windows
141,Windows
142,Linux-based
143,Linux-based
143,MacOS
144,Windows
145,MacOS
147,Linux-based
147,MacOS
148,MacOS
149,Windows
150,Windows
150,Windows Subsystem for Linux (WSL)
151,Linux-based
151,Windows
152,Linux-based
152,MacOS
152,Windows
153,Linux-based
153,MacOS
153,Windows
154,Linux-based
154,MacOS
155,MacOS
156,Linux-based
156,Windows
156,Windows Subsystem for Linux (WSL)
157,MacOS
158,Linux-based
159,Windows
159,Windows Subsystem for Linux (WSL)
160,Windows
161,Linux-based
162,MacOS
163,Linux-based
164,MacOS
165,MacOS
166,Linux-based
167,Windows
