ResponseId,ProfessionalTech
8,Automated testing
8,Continuous integration (CI) and (more often) continuous delivery
8,DevOps function
8,Developer portal or other central places to find tools/services
8,Innersource initiative
8,Microservices
8,Observability tools
11,Automated testing
11,Continuous integration (CI) and (more often) continuous delivery
11,DevOps function
11,Innersource initiative
11,Microservices
11,Observability tools
12,DevOps function
12,Microservices
13,Automated testing
13,Continuous integration (CI) and (more often) continuous delivery
14,Automated testing
14,Continuous integration (CI) and (more often) continuous delivery
14,DevOps function
21,None of these
22,Automated testing
22,Continuous integration (CI) and (more often) continuous delivery
22,DevOps function
22,Microservices
22,Observability tools
25,Automated testing
25,Continuous integration (CI) and (more often) continuous delivery
25,DevOps function
25,Microservices
25,Observability tools
28,Automated testing
28,Continuous integration (CI) and (more often) continuous delivery
28,Developer portal or other central places to find tools/services
29,Automated testing
29,Continuous integration (CI) and (more often) continuous delivery
29,DevOps function
29,Observability tools
31,DevOps function
34,Automated testing
34,Continuous integration (CI) and (more often) continuous delivery
34,DevOps function
34,Developer portal or other central places to find tools/services
34,Observability tools
36,Automated testing
36,Continuous integration (CI) and (more often) continuous delivery
45,Microservices
47,Automated testing
47,DevOps function
47,Developer portal or other central places to find tools/services
47,Microservices
47,Observability tools
48,Automated testing
48,Continuous integration (CI) and (more often) continuous delivery
49,Automated testing
49,Continuous integration (CI) and (more often) continuous delivery
49,Observability tools
51,Automated testing
51,Continuous integration (CI) and (more often) continuous delivery
51,DevOps function
51,Developer portal or other central places to find tools/services
51,Microservices
51,Observability tools
53,Automated testing
53,Continuous integration (CI) and (more often) continuous delivery
53,DevOps function
53,Developer portal or other central places to find tools/services
54,Automated testing
54,Continuous integration (CI) and (more often) continuous delivery
54,DevOps function
54,Microservices
54,Observability tools
55,Automated testing
55,Continuous integration (CI) and (more often) continuous delivery
55,Observability tools
56,Automated testing
56,Continuous integration (CI) and (more often) continuous delivery
56,DevOps function
56,Developer portal or other central places to find tools/services
57,Automated testing
57,Continuous integration (CI) and (more often) continuous delivery
57,Developer portal or other central places to find tools/services
57,Microservices
58,Automated testing
58,Continuous integration (CI) and (more often) continuous delivery
59,None of these
60,Automated testing
60,Continuous integration (CI) and (more often) continuous delivery
60,Microservices
60,Observability tools
65,Continuous integration (CI) and (more often) continuous delivery
65,Microservices
66,None of these
69,Continuous integration (CI) and (more often) continuous delivery
69,DevOps function
69,Microservices
72,Automated testing
72,Continuous integration (CI) and (more often) continuous delivery
72,DevOps function
72,Developer portal or other central places to find tools/services
72,Innersource initiative
72,Microservices
72,Observability tools
73,Automated testing
73,Continuous integration (CI) and (more often) continuous delivery
73,DevOps function
73,Developer portal or other central places to find tools/services
73,Innersource initiative
73,Microservices
