ResponseId,NEWCollabToolsHaveWorkedWith
2,Notepad++
2,Visual Studio
3,Notepad++
3,Visual Studio
3,Visual Studio Code
4,Notepad++
4,Visual Studio
4,Visual Studio Code
4,Xcode
5,Visual Studio
5,Visual Studio Code
5,Xcode
6,Atom
6,IntelliJ
6,Notepad++
6,PyCharm
6,Sublime Text
6,Visual Studio
6,Visual Studio Code
7,Atom
7,CLion
7,Eclipse
7,IntelliJ
7,Notepad++
7,Visual Studio
8,Emacs
8,Notepad++
9,Android Studio
9,"RAD Studio (Delphi, C++ Builder)"
9,Visual Studio
9,Visual Studio Code
9,Xcode
10,Rider
10,Visual Studio
10,Visual Studio Code
11,IPython
11,IPython/Jupyter
11,Neovim
11,Visual Studio
11,Visual Studio Code
12,Vim
12,Visual Studio
13,Visual Studio
13,Visual Studio Code
14,IPython
14,IPython/Jupyter
14,Nano
14,RStudio
14,Visual Studio
14,Visual Studio Code
15,Notepad++
15,Visual Studio
15,Visual Studio Code
16,IntelliJ
16,Notepad++
16,Visual Studio
16,Visual Studio Code
17,Visual Studio
17,Visual Studio Code
18,Visual Studio
18,Visual Studio Code
19,IntelliJ
19,Visual Studio
19,Visual Studio Code
20,Eclipse
20,IntelliJ
20,Notepad++
20,Vim
20,Visual Studio
20,Visual Studio Code
21,Neovim
21,Sublime Text
21,Visual Studio
21,Visual Studio Code
22,Rider
22,Visual Studio
22,Visual Studio Code
23,Notepad++
24,Notepad++
24,Visual Studio
24,Visual Studio Code
25,Android Studio
25,IntelliJ
25,Visual Studio
25,Visual Studio Code
26,Atom
26,IntelliJ
26,Vim
27,Visual Studio
27,Visual Studio Code
28,Visual Studio
29,Notepad++
29,Rider
29,Visual Studio
29,Visual Studio Code
31,Visual Studio
32,CLion
32,IntelliJ
32,Nano
32,Notepad++
32,PyCharm
32,Vim
32,Visual Studio
32,Visual Studio Code
33,Visual Studio
33,Visual Studio Code
34,IPython
34,IPython/Jupyter
34,PyCharm
34,Vim
34,Visual Studio
34,Visual Studio Code
35,IPython
35,IPython/Jupyter
35,Nano
35,PyCharm
35,Sublime Text
36,Android Studio
36,Eclipse
36,IntelliJ
36,Notepad++
36,PyCharm
36,Vim
36,Visual Studio
36,Visual Studio Code
37,Visual Studio
37,Visual Studio Code
38,Visual Studio
38,Visual Studio Code
39,IntelliJ
39,Vim
39,Visual Studio
39,Visual Studio Code
40,Notepad++
40,Visual Studio
40,Visual Studio Code
41,IPython
41,IPython/Jupyter
41,Vim
42,Eclipse
42,IntelliJ
42,NetBeans
42,Visual Studio
42,Visual Studio Code
43,Nano
43,Notepad++
43,Vim
43,Visual Studio
43,Visual Studio Code
44,Eclipse
44,IntelliJ
44,PyCharm
45,Visual Studio
45,Visual Studio Code
46,Eclipse
46,IntelliJ
46,Vim
47,CLion
47,IntelliJ
47,PhpStorm
48,Emacs
48,IntelliJ
48,Notepad++
48,Vim
48,Visual Studio
49,Nano
49,Rider
49,Visual Studio
49,Visual Studio Code
49,WebStorm
50,Neovim
51,IntelliJ
51,Visual Studio
51,Visual Studio Code
52,Neovim
52,Visual Studio
52,Visual Studio Code
53,Visual Studio
53,Visual Studio Code
54,Emacs
54,Vim
54,Visual Studio
54,Visual Studio Code
55,IPython
55,IPython/Jupyter
55,IntelliJ
55,Visual Studio
55,Visual Studio Code
56,Visual Studio
56,Visual Studio Code
57,Android Studio
57,CLion
57,Notepad++
57,PyCharm
57,Rider
57,WebStorm
58,Android Studio
58,IntelliJ
58,Vim
59,Eclipse
59,Notepad++
59,Visual Studio
59,Visual Studio Code
60,Android Studio
60,Atom
60,CLion
60,GoLand
60,IntelliJ
60,Nano
60,Notepad++
60,PhpStorm
60,PyCharm
60,Rider
60,Visual Studio
60,Visual Studio Code
60,WebStorm
61,Vim
61,Visual Studio
61,Visual Studio Code
62,Android Studio
62,IntelliJ
62,WebStorm
63,Visual Studio
63,Visual Studio Code
63,Xcode
64,Android Studio
64,CLion
64,IntelliJ
64,Notepad++
64,PhpStorm
64,PyCharm
64,RStudio
64,Rider
64,WebStorm
65,Eclipse
65,Notepad++
65,Sublime Text
65,Visual Studio
65,Visual Studio Code
66,Eclipse
67,Notepad++
67,Visual Studio
67,Visual Studio Code
68,Notepad++
68,Visual Studio
68,Visual Studio Code
69,Eclipse
69,GoLand
69,IntelliJ
69,Sublime Text
70,Android Studio
70,IntelliJ
71,Atom
71,CLion
71,Neovim
71,PyCharm
71,Vim
71,Visual Studio
71,Visual Studio Code
72,IntelliJ
73,Vim
73,Visual Studio
73,Visual Studio Code
74,Rider
74,Visual Studio
74,Visual Studio Code
75,GoLand
75,IntelliJ
75,RubyMine
76,Notepad++
76,Rider
76,Visual Studio
76,Visual Studio Code
77,Eclipse
78,PhpStorm
78,Vim
79,Emacs
80,Notepad++
80,"RAD Studio (Delphi, C++ Builder)"
81,Visual Studio
81,Visual Studio Code
82,Eclipse
82,Nano
82,RStudio
82,Spyder
82,Sublime Text
82,Visual Studio
83,Visual Studio
83,Visual Studio Code
84,Visual Studio
84,Visual Studio Code
85,Eclipse
85,Notepad++
85,PyCharm
87,Android Studio
87,Visual Studio
87,Visual Studio Code
88,IntelliJ
88,Visual Studio
88,Visual Studio Code
89,Notepad++
89,Visual Studio
90,IPython
90,IPython/Jupyter
90,PyCharm
90,RStudio
90,Visual Studio
90,Visual Studio Code
91,"RAD Studio (Delphi, C++ Builder)"
91,Visual Studio
91,Visual Studio Code
92,IPython
92,IPython/Jupyter
92,PyCharm
92,RStudio
92,Visual Studio
92,Visual Studio Code
93,Visual Studio
93,Visual Studio Code
94,Atom
94,IPython
94,IPython/Jupyter
94,RStudio
95,Eclipse
95,Notepad++
95,Sublime Text
95,Vim
95,Visual Studio
95,Visual Studio Code
96,IntelliJ
96,Nano
96,RubyMine
96,Visual Studio
96,Visual Studio Code
97,Notepad++
97,Visual Studio
97,Visual Studio Code
99,Android Studio
99,Atom
99,Eclipse
99,IPython
99,IPython/Jupyter
99,IntelliJ
99,NetBeans
99,Notepad++
99,Sublime Text
99,Visual Studio
99,Visual Studio Code
100,Atom
100,Neovim
100,Vim
