ResponseId,ToolsTechHaveWorkedWith
4,npm
5,Homebrew
6,Homebrew
6,npm
7,npm
10,Docker
10,Terraform
10,npm
11,Docker
11,Homebrew
11,Kubernetes
12,Docker
13,Docker
13,Homebrew
13,Yarn
13,npm
14,Docker
14,Yarn
14,npm
15,npm
16,Docker
16,npm
17,Docker
17,Homebrew
17,Kubernetes
20,Docker
20,npm
21,Docker
21,Kubernetes
22,Docker
22,Kubernetes
22,Terraform
22,Yarn
22,npm
25,Kubernetes
25,Terraform
25,npm
27,Docker
27,Yarn
27,npm
29,npm
34,Docker
34,Kubernetes
34,npm
36,Ansible
36,Docker
36,Terraform
36,npm
37,Docker
37,Homebrew
37,Yarn
37,npm
39,Ansible
39,Docker
39,Terraform
41,Docker
42,Docker
42,Yarn
42,npm
43,npm
44,Docker
45,Yarn
45,npm
46,npm
47,Docker
47,Homebrew
47,Kubernetes
47,Yarn
47,npm
49,Ansible
49,Docker
49,npm
51,Docker
51,Homebrew
51,Unity 3D
52,Ansible
52,Docker
52,Homebrew
52,Kubernetes
52,Puppet
52,Terraform
52,npm
53,npm
54,Ansible
54,Docker
54,Homebrew
54,Kubernetes
54,Terraform
55,Docker
55,npm
56,Docker
57,Docker
57,Flow
57,Kubernetes
57,Unity 3D
57,npm
58,Docker
58,Homebrew
59,Docker
59,npm
60,Ansible
60,Docker
60,Kubernetes
60,Terraform
60,Unity 3D
60,Unreal Engine
60,Yarn
60,npm
61,Docker
61,Puppet
62,Docker
62,Kubernetes
62,npm
63,Docker
63,Homebrew
63,npm
64,Unity 3D
67,Docker
67,Terraform
67,npm
68,Docker
68,Yarn
68,npm
69,Docker
69,Kubernetes
69,Puppet
71,Docker
71,Kubernetes
71,Yarn
71,npm
73,Docker
73,Terraform
73,Yarn
73,npm
76,Docker
76,Kubernetes
77,Homebrew
78,Docker
79,Docker
79,Terraform
79,npm
81,Yarn
81,npm
83,Docker
83,Yarn
84,Docker
84,npm
87,Ansible
87,Docker
87,Kubernetes
88,Docker
88,npm
91,Docker
91,Terraform
93,Docker
93,Homebrew
93,npm
95,Docker
96,Ansible
96,Docker
96,Kubernetes
96,Terraform
96,Yarn
96,npm
97,Kubernetes
97,npm
99,npm
101,Docker
101,Homebrew
101,npm
102,Docker
102,npm
103,npm
104,Docker
105,Docker
105,Homebrew
105,Yarn
106,Docker
106,Kubernetes
106,npm
109,Docker
109,Terraform
109,npm
110,Docker
112,Ansible
112,Docker
112,Kubernetes
114,Yarn
114,npm
118,Homebrew
118,npm
119,Ansible
119,Chef
119,Docker
119,Terraform
120,Ansible
120,Docker
120,Kubernetes
120,npm
121,Docker
121,Homebrew
121,Terraform
122,Docker
122,Terraform
122,npm
124,Ansible
124,Docker
124,Kubernetes
124,Terraform
124,Yarn
124,npm
125,Docker
126,Docker
126,Kubernetes
126,Yarn
127,npm
128,Unity 3D
130,Docker
131,Kubernetes
131,Terraform
132,Chef
132,Docker
132,npm
133,Docker
133,Kubernetes
134,Yarn
135,Docker
135,Homebrew
136,Unity 3D
138,Docker
138,Homebrew
138,Kubernetes
139,Chef
139,Homebrew
139,Kubernetes
140,Kubernetes
140,npm
141,npm
142,Docker
142,npm
143,Docker
143,Kubernetes
143,Terraform
143,Yarn
143,npm
147,Homebrew
147,npm
148,Terraform
148,npm
149,npm
151,Docker
151,Kubernetes
151,Yarn
151,npm
152,Docker
152,Homebrew
152,Kubernetes
152,Yarn
152,npm
153,Docker
153,Terraform
154,Docker
154,Homebrew
154,Kubernetes
154,Puppet
154,npm
155,Docker
155,Kubernetes
155,Yarn
155,npm
156,Docker
158,Docker
158,Kubernetes
158,Terraform
158,Yarn
158,npm
159,Yarn
159,npm
160,Docker
160,Unreal Engine
161,Ansible
161,Kubernetes
162,Docker
162,npm
164,Docker
165,Docker
165,Homebrew
166,Docker
166,Yarn
166,npm
167,Ansible
167,Docker
168,Docker
168,Yarn
168,npm
170,Docker
170,Homebrew
170,Kubernetes
170,Terraform
170,npm
171,Docker
171,Unity 3D
172,Docker
172,Homebrew
173,Docker
173,Yarn
173,npm
177,npm
178,Docker
178,Kubernetes
178,npm
179,Docker
179,Kubernetes
180,Docker
180,npm
181,Docker
181,Kubernetes
181,Terraform
182,Docker
182,Homebrew
182,Kubernetes
182,npm
183,Docker
183,Kubernetes
183,Terraform
184,Docker
184,Homebrew
184,Unity 3D
184,npm
185,Docker
185,Homebrew
185,npm
186,Ansible
186,Docker
188,Docker
188,Homebrew
188,npm
189,Docker
189,Homebrew
189,Kubernetes
191,Docker
192,Docker
192,Terraform
193,Docker
193,Homebrew
193,Kubernetes
193,Yarn
193,npm
194,Ansible
194,Docker
194,Homebrew
194,Kubernetes
194,Terraform
195,Docker
195,Homebrew
195,Pulumi
195,Terraform
195,Unreal Engine
195,npm
196,Docker
196,Kubernetes
