ResponseId,LanguageWantToWorkWith
1,R
1,Rust
1,TypeScript
2,C
2,C#
2,C++
2,HTML/CSS
2,Java
2,JavaScript
2,TypeScript
3,C
3,C#
3,SQL
3,TypeScript
4,C
4,C#
4,Elixir
4,F#
4,Go
4,Java
4,JavaScript
4,R
4,Rust
4,TypeScript
5,Lua
6,C
6,C#
6,C++
6,Elixir
6,Go
6,HTML/CSS
6,Java
6,JavaScript
6,Kotlin
6,Python
6,R
6,Rust
6,Swift
6,TypeScript
7,APL
7,Bash/Shell
7,Go
7,Python
7,TypeScript
9,Delphi
9,Java
9,Swift
10,C
10,C#
10,Go
10,Java
10,JavaScript
11,C
11,C++
11,Go
11,HTML/CSS
11,Java
11,JavaScript
11,Lua
11,R
11,Rust
11,TypeScript
12,C
12,HTML/CSS
12,Haskell
12,R
12,Rust
12,Swift
13,C
13,Elixir
13,Erlang
13,HTML/CSS
13,Java
13,JavaScript
13,R
13,Ruby
13,SQL
13,TypeScript
14,C
14,HTML/CSS
14,Java
14,JavaScript
14,Python
14,Scala
15,Bash/Shell
15,C
15,HTML/CSS
15,SQL
15,TypeScript
16,Java
16,JavaScript
16,Kotlin
16,PowerShell
16,SQL
16,TypeScript
16,VBA
17,Python
17,SQL
18,C
18,C#
18,F#
18,PowerShell
18,SQL
19,C
19,HTML/CSS
19,Python
19,SQL
20,Bash/Shell
20,C
20,HTML/CSS
20,Java
20,JavaScript
20,Python
20,SQL
20,TypeScript
21,Elixir
21,Julia
21,Kotlin
21,Python
21,R
21,Rust
21,SQL
21,Scala
21,TypeScript
22,C
22,C#
22,SQL
23,SQL
23,VBA
24,C
24,C++
24,Java
24,JavaScript
24,PHP
24,TypeScript
25,C
25,C#
25,Dart
25,Java
25,Kotlin
25,Swift
25,TypeScript
26,Bash/Shell
26,C
26,Groovy
26,HTML/CSS
26,Java
26,JavaScript
26,Python
27,C
27,HTML/CSS
27,R
27,Rust
27,TypeScript
28,C
28,C++
29,TypeScript
31,TypeScript
32,Python
33,Go
33,Python
34,C
34,HTML/CSS
34,Java
34,JavaScript
34,Python
34,SQL
35,Python
36,Bash/Shell
36,Go
36,Python
37,C
37,HTML/CSS
37,Java
37,JavaScript
37,PHP
37,Python
37,R
37,Ruby
38,C
38,C++
38,Python
38,R
38,Ruby
38,SQL
38,TypeScript
39,Bash/Shell
39,C
39,Dart
39,Go
39,Groovy
39,HTML/CSS
39,Java
39,Perl
39,SQL
39,Scala
41,Bash/Shell
41,Python
41,SQL
42,C
42,C#
42,HTML/CSS
42,Java
42,JavaScript
42,Python
42,R
42,Ruby
42,SQL
42,TypeScript
44,Bash/Shell
44,Java
44,Kotlin
44,SQL
45,Dart
46,Bash/Shell
46,C
46,C++
46,Lua
46,Python
47,C
47,C++
47,Go
48,Dart
48,Haskell
48,Java
48,Swift
49,C
49,C#
49,HTML/CSS
49,Java
49,JavaScript
49,SQL
49,TypeScript
51,Bash/Shell
51,C
51,HTML/CSS
51,Java
51,JavaScript
51,Python
51,R
51,Rust
51,SQL
52,Bash/Shell
52,Go
52,Lua
52,Python
52,R
52,Rust
54,Bash/Shell
54,C
54,C#
54,F#
54,Go
54,Haskell
54,Java
54,JavaScript
54,Kotlin
54,LISP
54,Python
54,R
54,Ruby
54,Rust
55,C
55,C#
55,HTML/CSS
55,Java
55,JavaScript
55,SQL
55,TypeScript
56,C
56,C++
57,C
57,C#
57,Dart
57,HTML/CSS
57,PowerShell
57,SQL
57,TypeScript
58,C
58,Clojure
58,Java
58,Kotlin
58,R
58,Rust
59,C
59,C++
59,Python
59,R
59,Rust
60,Bash/Shell
60,C
60,HTML/CSS
60,Java
