ResponseId,NEWCollabToolsWantToWorkWith
2,Notepad++
2,Visual Studio
3,Notepad++
3,Visual Studio
3,Visual Studio Code
4,Rider
4,Visual Studio
4,Visual Studio Code
5,Visual Studio
5,Visual Studio Code
6,Visual Studio
6,Visual Studio Code
6,WebStorm
7,Android Studio
7,IPython
7,IPython/Jupyter
7,Sublime Text
7,Vim
7,Visual Studio
7,Visual Studio Code
8,Emacs
8,Notepad++
9,Android Studio
9,"RAD Studio (Delphi, C++ Builder)"
9,Visual Studio
9,Visual Studio Code
9,Xcode
10,Rider
10,Visual Studio
10,Visual Studio Code
11,IPython
11,IPython/Jupyter
11,Neovim
11,Visual Studio
11,Visual Studio Code
12,Vim
12,Visual Studio
13,Visual Studio
13,Visual Studio Code
14,Visual Studio
14,Visual Studio Code
15,Visual Studio
15,Visual Studio Code
16,IntelliJ
16,Notepad++
17,PyCharm
17,Visual Studio
17,Visual Studio Code
18,Visual Studio
18,Visual Studio Code
19,Visual Studio
19,Visual Studio Code
20,IntelliJ
20,Notepad++
20,Visual Studio
20,Visual Studio Code
21,Neovim
21,Sublime Text
21,Visual Studio
21,Visual Studio Code
22,Visual Studio
24,Notepad++
24,Visual Studio
24,Visual Studio Code
25,Android Studio
25,IntelliJ
25,Visual Studio
25,Visual Studio Code
26,Atom
26,IntelliJ
26,Vim
27,Visual Studio
27,Visual Studio Code
32,Nano
32,PyCharm
33,Visual Studio
33,Visual Studio Code
34,IPython
34,IPython/Jupyter
34,PyCharm
34,Vim
35,IPython
35,IPython/Jupyter
35,Nano
35,PyCharm
35,Sublime Text
36,IntelliJ
36,PyCharm
36,Vim
37,IntelliJ
37,PhpStorm
37,PyCharm
37,RubyMine
37,WebStorm
38,Visual Studio
38,Visual Studio Code
39,IntelliJ
39,Vim
41,IPython
41,IPython/Jupyter
41,PyCharm
41,Vim
42,Visual Studio
42,Visual Studio Code
43,Vim
43,Visual Studio
43,Visual Studio Code
44,Eclipse
44,IntelliJ
44,PyCharm
45,Visual Studio
45,Visual Studio Code
46,Vim
48,Android Studio
48,Emacs
48,IntelliJ
48,Notepad++
48,Vim
48,Visual Studio
48,Xcode
49,Rider
49,Vim
49,Visual Studio
49,Visual Studio Code
49,WebStorm
51,IntelliJ
51,Visual Studio
51,Visual Studio Code
52,Neovim
52,Visual Studio
52,Visual Studio Code
53,Visual Studio
53,Visual Studio Code
54,Emacs
54,Vim
54,Visual Studio
54,Visual Studio Code
55,IntelliJ
55,Visual Studio
55,Visual Studio Code
56,Visual Studio
56,Visual Studio Code
57,Notepad++
57,Rider
57,WebStorm
58,Android Studio
58,IntelliJ
58,Vim
59,Notepad++
59,Visual Studio
59,Visual Studio Code
60,IntelliJ
60,Notepad++
60,PyCharm
60,Visual Studio
60,Visual Studio Code
60,WebStorm
62,Android Studio
62,IntelliJ
62,WebStorm
63,Visual Studio
63,Visual Studio Code
64,Android Studio
64,CLion
64,IntelliJ
64,Notepad++
64,PhpStorm
64,PyCharm
64,Rider
64,WebStorm
65,Notepad++
65,Visual Studio
65,Visual Studio Code
66,Eclipse
67,Notepad++
67,Visual Studio
67,Visual Studio Code
68,Visual Studio
68,Visual Studio Code
69,IntelliJ
71,Neovim
71,Visual Studio
71,Visual Studio Code
72,IntelliJ
72,Sublime Text
73,Vim
73,Visual Studio
73,Visual Studio Code
74,Rider
74,Visual Studio
74,Visual Studio Code
74,Xcode
75,IntelliJ
75,RubyMine
75,Vim
76,Notepad++
76,Rider
76,Visual Studio
76,Visual Studio Code
77,Eclipse
78,Neovim
78,PhpStorm
78,Vim
79,Emacs
80,Notepad++
80,"RAD Studio (Delphi, C++ Builder)"
81,Visual Studio
81,Visual Studio Code
82,Eclipse
82,Nano
82,RStudio
82,Spyder
82,Sublime Text
82,Visual Studio
83,Visual Studio
83,Visual Studio Code
85,Eclipse
85,IntelliJ
85,Notepad++
85,PyCharm
87,Android Studio
87,Visual Studio
87,Visual Studio Code
88,IntelliJ
88,Visual Studio
88,Visual Studio Code
89,Notepad++
89,Visual Studio
89,Visual Studio Code
90,PyCharm
90,Visual Studio
90,Visual Studio Code
91,"RAD Studio (Delphi, C++ Builder)"
92,IPython
92,IPython/Jupyter
92,RStudio
92,Visual Studio
92,Visual Studio Code
93,Visual Studio
93,Visual Studio Code
94,Atom
94,IPython
94,IPython/Jupyter
94,RStudio
95,Notepad++
95,Sublime Text
95,Visual Studio
95,Visual Studio Code
96,IntelliJ
96,Nano
96,RubyMine
96,Visual Studio
96,Visual Studio Code
97,Notepad++
97,Visual Studio
97,Visual Studio Code
99,IPython
99,IPython/Jupyter
100,Neovim
101,IntelliJ
102,Notepad++
102,Rider
102,Visual Studio
103,Notepad++
103,Visual Studio
103,Visual Studio Code
104,Notepad++
104,PyCharm
104,Visual Studio
104,Visual Studio Code
104,WebStorm
105,GoLand
105,IntelliJ
106,Visual Studio
106,Visual Studio Code
107,Eclipse
107,Notepad++
107,Visual Studio
107,Visual Studio Code
108,Visual Studio
109,Rider
109,Sublime Text
110,GoLand
110,Neovim
110,Visual Studio
110,Visual Studio Code
111,GoLand
111,Notepad++
111,Rider
111,Visual Studio
112,Notepad++
112,PyCharm
112,Vim
113,Notepad++
113,RStudio
113,Vim
113,Visual Studio
113,Visual Studio Code
114,Eclipse
114,Vim
114,Visual Studio
114,Visual Studio Code
115,IntelliJ
115,PyCharm
116,IntelliJ
117,Notepad++
117,Sublime Text
117,Visual Studio
117,Visual Studio Code
118,Visual Studio
118,Visual Studio Code
119,Visual Studio
119,Visual Studio Code
120,IntelliJ
121,GoLand
121,IPython
121,IPython/Jupyter
121,IntelliJ
121,Sublime Text
122,Visual Studio
122,Visual Studio Code
122,WebStorm
123,Android Studio
123,Visual Studio
124,GoLand
124,Visual Studio
124,Visual Studio Code
125,Notepad++
125,Visual Studio
126,IntelliJ
126,Nano
126,Visual Studio
126,Visual Studio Code
127,Rider
127,Vim
127,Visual Studio
127,Visual Studio Code
128,IPython
128,IPython/Jupyter
128,Visual Studio
128,Visual Studio Code
129,CLion
129,Neovim
129,PyCharm
131,Vim
132,Visual Studio
