ResponseId,PlatformWantToWorkWith
4,Firebase
4,Microsoft Azure
7,Digital Ocean
7,Firebase
7,Microsoft Azure
7,VMware
9,Digital Ocean
9,Firebase
10,Microsoft Azure
11,AWS
11,Digital Ocean
11,Firebase
11,Linode
12,AWS
14,AWS
15,AWS
15,Firebase
15,Google Cloud
15,Heroku
16,AWS
17,AWS
17,Google Cloud
21,Google Cloud
21,OVH
21,VMware
24,AWS
25,AWS
25,Microsoft Azure
26,AWS
32,Google Cloud
32,OVH
32,VMware
36,AWS
36,Google Cloud
36,Linode
36,Microsoft Azure
37,AWS
37,Heroku
37,Linode
39,VMware
41,AWS
42,AWS
42,Heroku
42,Microsoft Azure
51,AWS
52,AWS
52,Google Cloud
53,AWS
54,AWS
54,Google Cloud
54,Linode
54,Microsoft Azure
55,Microsoft Azure
57,Microsoft Azure
60,AWS
61,AWS
61,Firebase
61,Google Cloud
61,Linode
61,OpenStack
62,OVH
66,AWS
67,AWS
67,Firebase
67,Google Cloud
67,Microsoft Azure
67,VMware
69,AWS
69,Google Cloud
70,AWS
71,AWS
71,Google Cloud
72,AWS
72,Google Cloud
73,AWS
73,Google Cloud
76,Microsoft Azure
79,AWS
80,Microsoft Azure
80,VMware
83,AWS
83,Microsoft Azure
87,AWS
87,Firebase
87,Google Cloud
87,Microsoft Azure
93,Google Cloud
96,Google Cloud
96,Heroku
97,AWS
97,Firebase
97,Google Cloud
97,Microsoft Azure
102,Microsoft Azure
104,AWS
104,Firebase
104,Google Cloud
104,Microsoft Azure
105,AWS
106,AWS
106,Digital Ocean
106,Firebase
109,AWS
109,Digital Ocean
109,Linode
110,Firebase
110,Heroku
111,AWS
111,Microsoft Azure
113,AWS
113,Google Cloud
113,Managed Hosting
113,Microsoft Azure
113,OpenStack
113,VMware
114,AWS
114,Digital Ocean
114,Firebase
114,Google Cloud
115,AWS
116,AWS
117,Microsoft Azure
118,AWS
118,Firebase
118,Microsoft Azure
119,AWS
119,Microsoft Azure
121,Google Cloud
122,AWS
122,Firebase
122,Heroku
122,Linode
122,Microsoft Azure
123,Firebase
124,AWS
124,Google Cloud
126,AWS
126,Google Cloud
126,Microsoft Azure
127,AWS
127,Google Cloud
127,Microsoft Azure
131,AWS
131,Google Cloud
133,AWS
133,Managed Hosting
139,AWS
139,Google Cloud
141,Microsoft Azure
142,AWS
151,Oracle Cloud Infrastructure
152,AWS
152,Digital Ocean
152,Firebase
152,Google Cloud
152,Heroku
153,AWS
154,AWS
154,Firebase
154,Google Cloud
154,Microsoft Azure
156,Microsoft Azure
158,AWS
161,AWS
163,AWS
164,Digital Ocean
164,Microsoft Azure
166,OVH
167,AWS
168,Firebase
170,AWS
172,AWS
173,AWS
173,Google Cloud
173,Heroku
175,Microsoft Azure
175,VMware
177,AWS
177,Google Cloud
177,Microsoft Azure
178,OpenStack
179,AWS
179,Digital Ocean
179,Linode
180,Microsoft Azure
181,AWS
181,Google Cloud
181,Microsoft Azure
182,Google Cloud
182,Oracle Cloud Infrastructure
183,AWS
183,Google Cloud
187,Microsoft Azure
188,AWS
189,AWS
191,Linode
191,Microsoft Azure
192,AWS
192,Digital Ocean
193,Microsoft Azure
194,AWS
194,Google Cloud
194,Microsoft Azure
195,Digital Ocean
195,OpenStack
196,AWS
199,AWS
199,Digital Ocean
200,Microsoft Azure
201,AWS
202,AWS
202,Firebase
202,Google Cloud
202,Microsoft Azure
206,AWS
209,AWS
210,AWS
212,AWS
212,Google Cloud
212,Microsoft Azure
217,AWS
217,Google Cloud
217,Microsoft Azure
218,Google Cloud
218,Managed Hosting
218,Microsoft Azure
218,OVH
218,VMware
219,AWS
219,Linode
221,AWS
221,Google Cloud
221,Microsoft Azure
222,Microsoft Azure
223,AWS
226,AWS
226,Google Cloud
226,Microsoft Azure
228,AWS
228,Microsoft Azure
232,AWS
232,Google Cloud
234,AWS
234,Microsoft Azure
235,AWS
235,Google Cloud
235,Microsoft Azure
235,OpenStack
236,AWS
236,Microsoft Azure
237,Google Cloud
239,Linode
245,Managed Hosting
246,Linode
247,Microsoft Azure
248,AWS
248,Google Cloud
248,Microsoft Azure
250,Managed Hosting
253,AWS
254,AWS
254,Google Cloud
256,AWS
256,Google Cloud
257,AWS
257,Digital Ocean
259,AWS
