ResponseId,WebframeWantToWorkWith
2,Angular
2,Angular.js
3,ASP.NET
3,ASP.NET CORE
4,ASP.NET
4,ASP.NET CORE
4,Angular
4,Blazor
4,Node.js
6,Django
6,Flask
6,Gatsby
6,Next.js
6,Node.js
6,React
6,React.js
6,Svelte
6,Vue.js
6,jQuery
7,Angular
7,Angular.js
7,Next.js
7,Vue.js
10,ASP.NET
10,ASP.NET CORE
10,Blazor
11,ASP.NET
11,ASP.NET CORE
11,Node.js
11,Nuxt.js
11,React
11,React.js
11,Vue.js
12,React
12,React.js
13,Phoenix
13,React
13,React.js
13,Ruby on Rails
13,Svelte
14,Django
14,FastAPI
14,React
14,React.js
14,Vue.js
15,Express
15,Node.js
15,Vue.js
16,Angular
16,Next.js
16,Node.js
16,Nuxt.js
16,React
16,React.js
16,Symfony
16,Vue.js
20,Node.js
21,FastAPI
21,Next.js
21,Nuxt.js
21,Vue.js
22,ASP.NET
22,ASP.NET CORE
25,Express
25,Node.js
26,React
26,React.js
26,jQuery
27,React
27,React.js
29,Blazor
31,ASP.NET
31,ASP.NET CORE
31,Angular
31,Blazor
31,Vue.js
34,Django
36,Django
36,FastAPI
36,React
36,React.js
37,Node.js
37,Nuxt.js
37,Ruby on Rails
37,Vue.js
37,jQuery
38,Flask
38,Ruby on Rails
39,Vue.js
42,ASP.NET
42,ASP.NET CORE
42,Angular
42,Angular.js
42,Blazor
42,Django
42,Node.js
42,React
42,React.js
42,Ruby on Rails
45,Node.js
45,React
45,React.js
45,Vue.js
49,ASP.NET
49,ASP.NET CORE
49,Angular
51,Next.js
51,Node.js
51,Nuxt.js
51,React
51,React.js
51,Svelte
51,Vue.js
54,ASP.NET
54,ASP.NET CORE
54,Vue.js
55,Node.js
55,React
55,React.js
55,Vue.js
55,jQuery
57,ASP.NET
57,ASP.NET CORE
57,Angular
57,Node.js
57,jQuery
58,Deno
60,FastAPI
60,Node.js
60,React
60,React.js
60,Vue.js
63,Node.js
63,Svelte
63,Vue.js
64,ASP.NET
64,ASP.NET CORE
64,Blazor
64,Nuxt.js
64,Vue.js
67,ASP.NET
67,ASP.NET CORE
67,Next.js
67,Node.js
67,React
67,React.js
68,Laravel
69,Angular
69,Angular.js
69,React
69,React.js
69,Vue.js
71,Django
73,Flask
73,Node.js
73,Vue.js
73,jQuery
74,Nuxt.js
74,React
74,React.js
74,Svelte
74,Vue.js
75,Vue.js
76,ASP.NET
76,ASP.NET CORE
76,jQuery
78,Vue.js
81,Express
81,Node.js
81,React
81,React.js
83,ASP.NET
83,ASP.NET CORE
83,Express
83,Next.js
83,Node.js
83,React
83,React.js
84,Blazor
87,ASP.NET
87,ASP.NET CORE
87,Angular
87,Node.js
87,React
87,React.js
88,Angular
88,Ruby on Rails
92,Flask
93,Next.js
93,React
93,React.js
96,Express
96,Fastify
96,Next.js
96,Node.js
96,React
96,React.js
97,ASP.NET
97,ASP.NET CORE
97,Node.js
97,jQuery
101,Next.js
101,Nuxt.js
101,React
101,React.js
101,Vue.js
102,ASP.NET
102,ASP.NET CORE
103,Express
103,Node.js
103,Vue.js
104,ASP.NET
104,ASP.NET CORE
104,Angular
104,Django
104,Express
104,Node.js
104,React
104,React.js
106,Express
106,Fastify
106,Next.js
106,Node.js
106,React
106,React.js
110,Node.js
111,ASP.NET
111,ASP.NET CORE
111,Angular
111,Angular.js
111,Blazor
111,Node.js
111,React
111,React.js
112,FastAPI
112,Flask
113,Drupal
113,Laravel
113,Node.js
113,React
113,React.js
113,Symfony
113,jQuery
114,Angular
114,Angular.js
114,Django
114,Gatsby
114,Next.js
114,React
114,React.js
114,Ruby on Rails
114,Svelte
114,Vue.js
116,React
116,React.js
118,Express
118,Next.js
118,Node.js
118,React
118,React.js
118,jQuery
120,Node.js
120,React
120,React.js
120,Vue.js
121,FastAPI
122,Angular
122,Express
122,Node.js
122,Svelte
123,ASP.NET
124,Express
124,Node.js
124,React
124,React.js
127,ASP.NET
127,ASP.NET CORE
127,Angular
127,Blazor
127,Laravel
127,Next.js
127,React
127,React.js
127,Vue.js
132,ASP.NET
132,Express
132,Next.js
132,Node.js
132,Nuxt.js
132,React
132,React.js
132,Svelte
132,Vue.js
133,Vue.js
133,jQuery
134,Next.js
134,Node.js
134,React
134,React.js
139,ASP.NET
139,ASP.NET CORE
139,Django
139,Symfony
140,React
140,React.js
140,Vue.js
141,React
141,React.js
141,Vue.js
142,Django
142,FastAPI
142,React
142,React.js
144,React
144,React.js
147,Vue.js
148,Angular
148,Angular.js
148,Node.js
149,ASP.NET
149,ASP.NET CORE
149,Blazor
150,Django
151,Angular
151,Express
151,Flask
151,Next.js
151,Node.js
151,React
151,React.js
152,ASP.NET
152,ASP.NET CORE
152,Django
152,Express
152,Laravel
152,Next.js
152,Node.js
152,React
152,React.js
153,Flask
153,Next.js
153,Node.js
153,React
153,React.js
154,Node.js
154,Vue.js
154,jQuery
156,React
156,React.js
157,Angular
157,Angular.js
157,Gatsby
157,Node.js
157,React
157,React.js
157,Svelte
157,Vue.js
158,React
158,React.js
159,Node.js
159,React
159,React.js
159,Vue.js
160,ASP.NET
160,ASP.NET CORE
164,ASP.NET
164,ASP.NET CORE
165,Vue.js
166,Next.js
168,ASP.NET
168,Django
168,Flask
168,Node.js
168,Nuxt.js
168,Svelte
168,Vue.js
170,Django
170,FastAPI
174,FastAPI
174,Flask
174,Node.js
174,React
174,React.js
174,jQuery
177,Node.js
179,Phoenix
179,Ruby on Rails
179,Vue.js
180,ASP.NET
180,ASP.NET CORE
180,Blazor
182,Express
182,Flask
182,Node.js
182,React
182,React.js
184,Next.js
184,Node.js
184,Nuxt.js
184,React
184,React.js
184,Vue.js
185,Node.js
188,Angular
188,Laravel
188,Node.js
188,jQuery
191,ASP.NET
191,ASP.NET CORE
191,Angular
191,Blazor
191,Svelte
191,Vue.js
192,React
192,React.js
193,ASP.NET
193,ASP.NET CORE
194,Angular
194,Node.js
196,Django
196,FastAPI
196,Next.js
196,Nuxt.js
196,Phoenix
196,Svelte
201,Angular
201,Gatsby
201,Next.js
201,Node.js
201,React
201,React.js
201,Svelte
201,Vue.js
202,Django
202,React
202,React.js
203,FastAPI
203,Flask
205,ASP.NET
205,ASP.NET CORE
205,Blazor
206,Vue.js
207,ASP.NET
207,ASP.NET CORE
207,React
207,React.js
208,Ruby on Rails
209,Express
209,Node.js
209,React
209,React.js
209,Vue.js
210,Next.js
210,Svelte
212,Angular
212,Angular.js
212,Django
212,Flask
212,Next.js
212,Node.js
212,React
212,React.js
212,Ruby on Rails
212,Svelte
212,Vue.js
214,Django
214,FastAPI
214,Flask
214,Node.js
214,React
214,React.js
216,Flask
216,Nuxt.js
216,Vue.js
218,ASP.NET
218,ASP.NET CORE
219,Vue.js
220,React
220,React.js
222,ASP.NET
222,ASP.NET CORE
223,Express
223,Node.js
223,React
223,React.js
223,Vue.js
228,Node.js
228,Vue.js
231,Django
231,React
231,React.js
233,ASP.NET
233,ASP.NET CORE
233,Express
233,Gatsby
233,Next.js
233,Node.js
233,React
233,React.js
233,Vue.js
236,ASP.NET
236,ASP.NET CORE
236,Vue.js
237,FastAPI
237,Flask
239,FastAPI
239,Flask
242,ASP.NET
242,ASP.NET CORE
242,Angular
242,React
242,React.js
244,Angular
244,Angular.js
244,Django
244,FastAPI
244,Next.js
244,Node.js
244,React
244,React.js
244,Svelte
244,Vue.js
244,jQuery
246,Express
247,ASP.NET
247,ASP.NET CORE
247,Angular
247,Blazor
247,Node.js
247,React
247,React.js
250,Django
250,Laravel
250,Svelte
250,Vue.js
253,ASP.NET
253,ASP.NET CORE
253,Angular
256,Django
256,FastAPI
257,Angular
257,Django
257,FastAPI
257,Laravel
257,Node.js
258,FastAPI
260,ASP.NET
260,ASP.NET CORE
260,Angular
260,Blazor
260,React
260,React.js
260,Svelte
261,ASP.NET
261,ASP.NET CORE
261,Blazor
261,jQuery
267,Django
267,jQuery
268,Django
268,Express
268,Node.js
268,React
268,React.js
269,ASP.NET
269,ASP.NET CORE
269,Node.js
269,Svelte
274,Ruby on Rails
275,Node.js
275,React
275,React.js
277,Django
277,FastAPI
278,ASP.NET
278,ASP.NET CORE
278,Node.js
278,React
278,React.js
279,ASP.NET
279,ASP.NET CORE
279,Next.js
279,React
279,React.js
279,Vue.js
281,ASP.NET
281,Angular
281,React
281,React.js
281,Svelte
281,Vue.js
283,React
283,React.js
283,Ruby on Rails
284,jQuery
285,ASP.NET
285,ASP.NET CORE
285,Blazor
285,Node.js
285,React
285,React.js
285,Vue.js
286,React
286,React.js
287,Next.js
287,React
287,React.js
290,ASP.NET
290,ASP.NET CORE
290,Angular
290,React
290,React.js
290,Vue.js
291,Angular
291,Next.js
291,Nuxt.js
291,React
291,React.js
291,Ruby on Rails
291,Svelte
291,Vue.js
292,FastAPI
292,Flask
293,Node.js
293,Vue.js
293,jQuery
295,Phoenix
297,Node.js
299,ASP.NET
299,ASP.NET CORE
300,Django
300,Flask
302,Express
302,Next.js
302,Node.js
302,React
302,React.js
304,Laravel
304,Symfony
304,jQuery
305,ASP.NET
305,ASP.NET CORE
305,Angular
