MainBranch,RemoteWork,Age,SurveyYear,ResponseId
None of these,,,2022,0
I am a developer by profession,Fully remote,,2022,1
"I am not primarily a developer, but I write code sometimes as part of my work","Hybrid (some remote, some in-person)",25-34 years old,2022,2
I am a developer by profession,Fully remote,35-44 years old,2022,3
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,4
"I am not primarily a developer, but I write code sometimes as part of my work",,25-34 years old,2022,5
I code primarily as a hobby,,Under 18 years old,2022,6
I am a developer by profession,,18-24 years old,2022,7
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,8
I am a developer by profession,Fully remote,45-54 years old,2022,9
I am a developer by profession,"Hybrid (some remote, some in-person)",18-24 years old,2022,10
"I am not primarily a developer, but I write code sometimes as part of my work",Fully remote,35-44 years old,2022,11
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,12
I am a developer by profession,Fully remote,35-44 years old,2022,13
I am a developer by profession,Fully remote,25-34 years old,2022,14
I am a developer by profession,Fully remote,25-34 years old,2022,15
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,16
I am a developer by profession,Fully remote,25-34 years old,2022,17
I am a developer by profession,"Hybrid (some remote, some in-person)",45-54 years old,2022,18
I am learning to code,,18-24 years old,2022,19
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,20
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,21
I am a developer by profession,Fully remote,35-44 years old,2022,22
"I am not primarily a developer, but I write code sometimes as part of my work","Hybrid (some remote, some in-person)",25-34 years old,2022,23
I am a developer by profession,Fully remote,55-64 years old,2022,24
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,25
I am a developer by profession,"Hybrid (some remote, some in-person)",25-34 years old,2022,26
I am a developer by profession,,18-24 years old,2022,27
I am a developer by profession,"Hybrid (some remote, some in-person)",35-44 years old,2022,28
I am a developer by profession,Fully remote,45-54 years old,2022,29
None of these,,,2022,30
I am a developer by profession,Fully remote,55-64 years old,2022,31
