CompTotal,SurveyEase,PurchaseInfluence,ResponseId,TBranch,SurveyLength,ICorPM
,Difficult,,1,No,Too long,
32000.0,Neither easy nor difficult,I have some influence,2,No,Appropriate in length,
60000.0,Easy,I have some influence,3,No,Appropriate in length,
,Easy,I have some influence,4,No,Too long,
,Easy,,5,,Appropriate in length,
,Easy,,6,,Appropriate in length,
,Easy,,7,,Appropriate in length,
46000.0,Easy,I have little or no influence,8,Yes,Appropriate in length,Independent contributor
,Easy,I have a great deal of influence,9,,Appropriate in length,
48000.0,Easy,I have little or no influence,10,No,Appropriate in length,
194400.0,Easy,I have some influence,11,Yes,Too short,People manager
65000.0,Easy,I have a great deal of influence,12,Yes,Appropriate in length,Independent contributor
,Easy,I have some influence,13,Yes,Too short,Independent contributor
110000.0,Easy,I have little or no influence,14,Yes,Appropriate in length,Independent contributor
,Neither easy nor difficult,I have a great deal of influence,15,,,
37000.0,Neither easy nor difficult,I have some influence,16,No,Appropriate in length,
190000.0,Easy,I have some influence,17,No,Appropriate in length,
4000.0,Easy,I have little or no influence,18,No,Appropriate in length,
,Easy,,19,,Appropriate in length,
,Easy,,20,,Appropriate in length,
32000.0,Easy,I have some influence,21,Yes,Appropriate in length,Independent contributor
125000.0,Neither easy nor difficult,I have some influence,22,Yes,Too long,Independent contributor
,Neither easy nor difficult,I have a great deal of influence,23,No,Appropriate in length,
,Easy,I have a great deal of influence,24,,Too short,
85000.0,Neither easy nor difficult,I have some influence,25,Yes,Appropriate in length,Independent contributor
106960.0,Easy,I have little or no influence,26,No,Appropriate in length,
,Easy,,27,,Appropriate in length,
130000.0,Easy,I have little or no influence,28,Yes,Appropriate in length,Independent contributor
130000.0,Easy,I have a great deal of influence,29,Yes,Too long,Independent contributor
102000.0,Easy,I have some influence,31,Yes,Appropriate in length,Independent contributor
,Easy,,32,,Appropriate in length,
,Easy,,33,,Appropriate in length,
30000.0,Easy,I have some influence,34,Yes,Too long,Independent contributor
,Neither easy nor difficult,,35,,Appropriate in length,
,Easy,I have some influence,36,Yes,Appropriate in length,Independent contributor
,Neither easy nor difficult,I have a great deal of influence,37,,Appropriate in length,
,Easy,,38,,Appropriate in length,
,Neither easy nor difficult,I have some influence,39,No,Appropriate in length,
130000.0,Easy,I have a great deal of influence,40,No,Appropriate in length,
19000.0,Neither easy nor difficult,I have little or no influence,41,Yes,Appropriate in length,Independent contributor
,Easy,,42,,Appropriate in length,
,Neither easy nor difficult,,43,No,Appropriate in length,
,Easy,,44,,Appropriate in length,
400.0,Easy,I have little or no influence,45,Yes,Too long,Independent contributor
,Neither easy nor difficult,,46,,Too short,
135000.0,Easy,I have little or no influence,47,Yes,Appropriate in length,Independent contributor
100000.0,Easy,I have some influence,48,Yes,Appropriate in length,
4000.0,Easy,I have some influence,49,Yes,Appropriate in length,Independent contributor
,Easy,,50,Yes,Appropriate in length,
14000.0,Neither easy nor difficult,I have some influence,51,Yes,Appropriate in length,Independent contributor
,Easy,,52,,Appropriate in length,
170000.0,Neither easy nor difficult,I have little or no influence,53,Yes,Appropriate in length,Independent contributor
1000000.0,Easy,I have some influence,54,Yes,Appropriate in length,People manager
141000.0,Easy,I have some influence,55,Yes,Appropriate in length,Independent contributor
1632000.0,Easy,I have little or no influence,56,Yes,Appropriate in length,Independent contributor
3650.0,Easy,I have a great deal of influence,57,Yes,Appropriate in length,Independent contributor
,Neither easy nor difficult,I have some influence,58,Yes,Appropriate in length,Independent contributor
60000.0,Easy,I have some influence,59,Yes,Too short,Independent contributor
85000.0,Neither easy nor difficult,I have a great deal of influence,60,Yes,Appropriate in length,Independent contributor
,Easy,,61,,Appropriate in length,
70000.0,Neither easy nor difficult,I have little or no influence,62,No,Appropriate in length,
150000.0,Easy,I have some influence,63,No,Appropriate in length,
,Easy,,64,,Too short,
,Easy,I have little or no influence,65,Yes,Too long,Independent contributor
10000.0,Easy,I have some influence,66,Yes,Appropriate in length,Independent contributor
,Neither easy nor difficult,,67,,Too long,
,Easy,,68,,Appropriate in length,
130000.0,Neither easy nor difficult,I have a great deal of influence,69,Yes,Appropriate in length,Independent contributor
,Neither easy nor difficult,I have some influence,70,No,Too long,
,Easy,,71,,Appropriate in length,
,Easy,,72,Yes,Appropriate in length,People manager
60000.0,Easy,I have little or no influence,73,Yes,Appropriate in length,Independent contributor
41200.0,Easy,I have little or no influence,74,No,Appropriate in length,
,Easy,,75,,Appropriate in length,
160000.0,Easy,I have some influence,76,Yes,Appropriate in length,Independent contributor
,Neither easy nor difficult,,77,,Appropriate in length,
,Neither easy nor difficult,I have little or no influence,78,Yes,Appropriate in length,Independent contributor
82000.0,Easy,I have a great deal of influence,79,Yes,Appropriate in length,People manager
,Neither easy nor difficult,I have a great deal of influence,80,,Appropriate in length,
,Neither easy nor difficult,,81,Yes,Appropriate in length,Independent contributor
,Neither easy nor difficult,,82,,Appropriate in length,
150000.0,Neither easy nor difficult,I have some influence,83,Yes,Appropriate in length,People manager
55000.0,Easy,I have some influence,84,Yes,Appropriate in length,Independent contributor
95000.0,Easy,I have some influence,85,Yes,Appropriate in length,Independent contributor
90000.0,Easy,I have some influence,87,Yes,Appropriate in length,People manager
67000.0,Easy,I have little or no influence,88,No,Appropriate in length,
47000.0,Neither easy nor difficult,I have some influence,89,Yes,Appropriate in length,
60000.0,Easy,I have little or no influence,90,Yes,Too short,Independent contributor
60000.0,Easy,I have some influence,91,Yes,Appropriate in length,Independent contributor
,Easy,I have little or no influence,92,No,Appropriate in length,
166000.0,Easy,I have a great deal of influence,93,Yes,Appropriate in length,Independent contributor
42000.0,Neither easy nor difficult,I have little or no influence,94,No,Appropriate in length,
92000.0,Easy,I have some influence,95,Yes,Appropriate in length,Independent contributor
40000.0,Easy,I have little or no influence,96,Yes,Too long,Independent contributor
450000.0,Easy,I have a great deal of influence,97,Yes,Appropriate in length,Independent contributor
16000.0,Neither easy nor difficult,I have little or no influence,99,No,Appropriate in length,
,Easy,,100,,Appropriate in length,
75000.0,Neither easy nor difficult,I have little or no influence,101,Yes,Too long,Independent contributor
38000.0,Neither easy nor difficult,I have some influence,102,Yes,Appropriate in length,Independent contributor
