Knowledge_6,Knowledge_7,Knowledge_5,Knowledge_2,Knowledge_3,Knowledge_1,Knowledge_4,Frequency_2,Frequency_3,Frequency_1,TimeSearching,TimeAnswering,ResponseId
Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,3-5 times a week,Never,3-5 times a week,15-30 minutes a day,Over 120 minutes a day,8
Agree,Agree,Agree,Agree,Disagree,Strongly agree,Agree,10+ times a week,3-5 times a week,10+ times a week,30-60 minutes a day,60-120 minutes a day,11
Agree,Disagree,Strongly agree,Disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Never,Never,Never,30-60 minutes a day,Less than 15 minutes a day,12
Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,10+ times a week,1-2 times a week,1-2 times a week,60-120 minutes a day,30-60 minutes a day,13
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,3-5 times a week,1-2 times a week,1-2 times a week,30-60 minutes a day,30-60 minutes a day,14
Strongly agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,6-10 times a week,3-5 times a week,1-2 times a week,30-60 minutes a day,60-120 minutes a day,21
Disagree,Agree,Disagree,Agree,Disagree,Neither agree nor disagree,Disagree,1-2 times a week,1-2 times a week,1-2 times a week,30-60 minutes a day,15-30 minutes a day,22
Disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,1-2 times a week,1-2 times a week,1-2 times a week,30-60 minutes a day,60-120 minutes a day,25
Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Disagree,Agree,Disagree,1-2 times a week,1-2 times a week,1-2 times a week,30-60 minutes a day,15-30 minutes a day,28
Agree,Disagree,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,1-2 times a week,1-2 times a week,1-2 times a week,15-30 minutes a day,15-30 minutes a day,29
Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Agree,Disagree,1-2 times a week,1-2 times a week,1-2 times a week,30-60 minutes a day,15-30 minutes a day,31
Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Agree,1-2 times a week,1-2 times a week,Never,30-60 minutes a day,30-60 minutes a day,34
Disagree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,1-2 times a week,1-2 times a week,1-2 times a week,30-60 minutes a day,15-30 minutes a day,36
Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,10+ times a week,Never,1-2 times a week,30-60 minutes a day,15-30 minutes a day,41
Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,1-2 times a week,Never,1-2 times a week,Less than 15 minutes a day,15-30 minutes a day,45
Agree,Agree,Agree,Agree,Disagree,Strongly agree,Disagree,6-10 times a week,1-2 times a week,1-2 times a week,30-60 minutes a day,30-60 minutes a day,47
Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Strongly agree,Disagree,3-5 times a week,Never,1-2 times a week,15-30 minutes a day,Less than 15 minutes a day,48
Agree,Disagree,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,1-2 times a week,1-2 times a week,Never,30-60 minutes a day,15-30 minutes a day,49
,,,,,Strongly disagree,,,,,15-30 minutes a day,Less than 15 minutes a day,50
Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Neither agree nor disagree,1-2 times a week,Never,1-2 times a week,Over 120 minutes a day,15-30 minutes a day,51
Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,1-2 times a week,Never,Never,15-30 minutes a day,Less than 15 minutes a day,53
Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,6-10 times a week,Never,1-2 times a week,30-60 minutes a day,Over 120 minutes a day,54
Agree,Agree,Disagree,Disagree,Agree,Strongly agree,Neither agree nor disagree,3-5 times a week,1-2 times a week,1-2 times a week,30-60 minutes a day,30-60 minutes a day,55
