SOVisitFreq,SOPartFreq,SOComm,SOAccount,ResponseId
Daily or almost daily,Daily or almost daily,Not sure,Yes,1
Multiple times per day,Multiple times per day,Neutral,Yes,2
Daily or almost daily,A few times per week,"Yes, definitely",Yes,3
Multiple times per day,Daily or almost daily,"Yes, definitely",Yes,4
Multiple times per day,Multiple times per day,"Yes, definitely",Yes,5
Multiple times per day,Daily or almost daily,"Yes, definitely",Yes,6
A few times per week,I have never participated in Q&A on Stack Overflow,"Yes, definitely",Yes,7
A few times per month or weekly,Less than once per month or monthly,"No, not at all",Yes,8
Multiple times per day,Multiple times per day,"Yes, definitely",Yes,9
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,10
Daily or almost daily,A few times per month or weekly,"Yes, somewhat",Yes,11
Daily or almost daily,,Neutral,Not sure/can't remember,12
Multiple times per day,Daily or almost daily,"Yes, definitely",Yes,13
Daily or almost daily,Less than once per month or monthly,"Yes, somewhat",Yes,14
Multiple times per day,Multiple times per day,"Yes, definitely",Yes,15
Daily or almost daily,A few times per month or weekly,Neutral,Yes,16
Daily or almost daily,Less than once per month or monthly,"Yes, definitely",Yes,17
Multiple times per day,Daily or almost daily,"Yes, definitely",Yes,18
Daily or almost daily,,"No, not really",No,19
A few times per week,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,20
Multiple times per day,Less than once per month or monthly,"No, not really",Yes,21
Daily or almost daily,Less than once per month or monthly,"No, not really",Yes,22
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,23
Less than once per month or monthly,,"No, not at all",No,24
A few times per month or weekly,Less than once per month or monthly,Neutral,Yes,25
Daily or almost daily,A few times per month or weekly,"Yes, somewhat",Yes,26
Multiple times per day,Less than once per month or monthly,Neutral,Yes,27
Multiple times per day,Multiple times per day,"Yes, somewhat",Yes,28
Daily or almost daily,A few times per month or weekly,"Yes, somewhat",Yes,29
Multiple times per day,A few times per week,"Yes, definitely",Yes,31
Multiple times per day,Multiple times per day,"Yes, definitely",Yes,32
Daily or almost daily,,"No, not really",Not sure/can't remember,33
Daily or almost daily,A few times per month or weekly,"Yes, definitely",Yes,34
Daily or almost daily,,"No, not really",Not sure/can't remember,35
Daily or almost daily,Less than once per month or monthly,"Yes, somewhat",Yes,36
Multiple times per day,I have never participated in Q&A on Stack Overflow,Neutral,Yes,37
A few times per week,,"No, not at all",No,38
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,39
A few times per week,A few times per month or weekly,"Yes, somewhat",Yes,40
Daily or almost daily,,"No, not really",No,41
Daily or almost daily,I have never participated in Q&A on Stack Overflow,Neutral,Yes,42
A few times per month or weekly,I have never participated in Q&A on Stack Overflow,"No, not at all",Yes,43
Multiple times per day,A few times per week,"Yes, definitely",Yes,44
A few times per month or weekly,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,45
Multiple times per day,Multiple times per day,"Yes, definitely",Yes,46
Daily or almost daily,,"No, not really",No,47
Daily or almost daily,A few times per month or weekly,"Yes, somewhat",Yes,48
Multiple times per day,I have never participated in Q&A on Stack Overflow,Neutral,Yes,49
Daily or almost daily,,"No, not at all",No,50
Daily or almost daily,Less than once per month or monthly,"No, not really",Yes,51
Daily or almost daily,Less than once per month or monthly,"Yes, somewhat",Yes,52
Multiple times per day,Less than once per month or monthly,"Yes, somewhat",Yes,53
A few times per week,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",Yes,54
Multiple times per day,A few times per month or weekly,"Yes, somewhat",Yes,55
Multiple times per day,,"No, not really",No,56
Multiple times per day,Daily or almost daily,"Yes, definitely",Yes,57
Multiple times per day,Less than once per month or monthly,Neutral,Yes,58
Multiple times per day,,Neutral,No,59
Daily or almost daily,Less than once per month or monthly,"No, not really",Yes,60
,Less than once per month or monthly,Neutral,Yes,61
,A few times per week,"Yes, somewhat",Yes,62
Daily or almost daily,Less than once per month or monthly,"No, not really",Yes,63
Multiple times per day,Less than once per month or monthly,"No, not really",Yes,64
Daily or almost daily,,"Yes, somewhat",Not sure/can't remember,65
Daily or almost daily,Less than once per month or monthly,Neutral,Yes,66
A few times per week,,"Yes, definitely",No,67
Daily or almost daily,Less than once per month or monthly,Neutral,Yes,68
A few times per week,Less than once per month or monthly,"No, not at all",Yes,69
Daily or almost daily,Less than once per month or monthly,Neutral,Yes,70
Daily or almost daily,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,71
Less than once per month or monthly,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",Yes,72
Multiple times per day,A few times per month or weekly,"Yes, somewhat",Yes,73
A few times per month or weekly,,Neutral,Not sure/can't remember,74
Daily or almost daily,,Neutral,No,75
Multiple times per day,A few times per week,"Yes, somewhat",Yes,76
Multiple times per day,Multiple times per day,"Yes, definitely",Yes,77
A few times per month or weekly,,"No, not at all",No,78
A few times per month or weekly,Less than once per month or monthly,"Yes, somewhat",Yes,79
A few times per month or weekly,I have never participated in Q&A on Stack Overflow,Neutral,Yes,80
Multiple times per day,,"No, not really",No,81
Daily or almost daily,Daily or almost daily,"Yes, somewhat",Yes,82
A few times per week,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,83
Less than once per month or monthly,,"No, not at all",Not sure/can't remember,84
Daily or almost daily,,"Yes, somewhat",No,85
A few times per week,Less than once per month or monthly,Neutral,Yes,87
Daily or almost daily,,"No, not really",No,88
A few times per week,I have never participated in Q&A on Stack Overflow,"No, not at all",Yes,89
Multiple times per day,Daily or almost daily,"Yes, somewhat",Yes,90
A few times per week,Less than once per month or monthly,"Yes, somewhat",Yes,91
Less than once per month or monthly,,"No, not at all",No,92
A few times per week,Less than once per month or monthly,"No, not really",Yes,93
A few times per week,,"No, not really",No,94
A few times per week,A few times per month or weekly,"Yes, somewhat",Yes,95
Multiple times per day,Less than once per month or monthly,"No, not really",Yes,96
Less than once per month or monthly,Less than once per month or monthly,"No, not really",Yes,97
,,,Yes,98
Daily or almost daily,Less than once per month or monthly,"Yes, somewhat",Yes,99
Less than once per month or monthly,Less than once per month or monthly,"Yes, somewhat",Yes,100
Multiple times per day,Less than once per month or monthly,"Yes, somewhat",Yes,101
A few times per week,Less than once per month or monthly,"Yes, somewhat",Yes,102
Daily or almost daily,Less than once per month or monthly,"No, not really",Yes,103
Daily or almost daily,Less than once per month or monthly,"No, not really",Yes,104
Multiple times per day,Multiple times per day,"Yes, definitely",Yes,105
Multiple times per day,I have never participated in Q&A on Stack Overflow,"Yes, definitely",Yes,106
Multiple times per day,Multiple times per day,"Yes, definitely",Yes,107
A few times per week,Less than once per month or monthly,Neutral,Yes,108
A few times per month or weekly,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",Yes,109
A few times per week,Less than once per month or monthly,"Yes, somewhat",Yes,110
Multiple times per day,A few times per month or weekly,"Yes, somewhat",Yes,111
Daily or almost daily,A few times per week,"Yes, somewhat",Yes,112
Daily or almost daily,A few times per month or weekly,"Yes, somewhat",Yes,113
A few times per week,Less than once per month or monthly,"Yes, definitely",Yes,114
Daily or almost daily,A few times per month or weekly,"Yes, somewhat",Yes,115
A few times per month or weekly,,"No, not really",No,116
Less than once per month or monthly,,"Yes, somewhat",No,117
Multiple times per day,A few times per month or weekly,Neutral,Yes,118
Daily or almost daily,Less than once per month or monthly,Neutral,Yes,119
Daily or almost daily,,"No, not really",No,120
Daily or almost daily,,"No, not really",No,121
Multiple times per day,Less than once per month or monthly,"No, not at all",Yes,122
A few times per week,Less than once per month or monthly,"No, not really",Yes,123
Daily or almost daily,Less than once per month or monthly,"No, not really",Yes,124
Multiple times per day,Less than once per month or monthly,"No, not really",Yes,125
Multiple times per day,Daily or almost daily,"Yes, definitely",Yes,126
A few times per month or weekly,,Neutral,No,127
Daily or almost daily,Less than once per month or monthly,"Yes, somewhat",Yes,128
A few times per week,Less than once per month or monthly,"No, not at all",Yes,129
A few times per week,,"No, not really",No,130
A few times per month or weekly,,Neutral,No,131
A few times per week,,"No, not really",No,132
Less than once per month or monthly,I have never participated in Q&A on Stack Overflow,"No, not at all",Yes,133
A few times per week,,"No, not really",No,134
A few times per week,,"No, not at all",No,135
Multiple times per day,,"No, not really",Not sure/can't remember,136
A few times per month or weekly,Less than once per month or monthly,"Yes, somewhat",Yes,137
Daily or almost daily,Less than once per month or monthly,"Yes, somewhat",Yes,138
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,139
Daily or almost daily,,"Yes, definitely",Not sure/can't remember,140
Daily or almost daily,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,141
Daily or almost daily,Less than once per month or monthly,"No, not really",Yes,142
Daily or almost daily,Less than once per month or monthly,Neutral,Yes,143
Multiple times per day,,"No, not at all",No,144
A few times per week,Less than once per month or monthly,Neutral,Yes,145
A few times per month or weekly,I have never participated in Q&A on Stack Overflow,Neutral,Yes,147
Daily or almost daily,A few times per month or weekly,"Yes, somewhat",Yes,148
